726 images
  [GRAPH] 7 branches traced, 116/116 nodes assigned, 0 orphans, 113 edges, 3 components
  [GRAPH] 5 branches traced, 95/95 nodes assigned, 0 orphans, 92 edges, 3 components
  [GRAPH] 4 branches traced, 70/70 nodes assigned, 0 orphans, 68 edges, 2 components
  [GRAPH] 744 branches traced, 433/433 nodes assigned, 0 orphans, 752 edges, 5 components
  [GRAPH] 1129 branches traced, 696/696 nodes assigned, 0 orphans, 1142 edges, 22 components
  [GRAPH] 1377 branches traced, 830/830 nodes assigned, 0 orphans, 1394 edges, 23 components
  [GRAPH] 20 branches traced, 142/142 nodes assigned, 0 orphans, 143 edges, 4 components
  [GRAPH] 20 branches traced, 123/123 nodes assigned, 0 orphans, 124 edges, 4 components
  [GRAPH] 22 branches traced, 116/116 nodes assigned, 0 orphans, 118 edges, 4 components
  [GRAPH] 15 branches traced, 119/119 nodes assigned, 0 orphans, 118 edges, 4 components
  [GRAPH] 11 branches traced, 116/116 nodes assigned, 0 orphans, 114 edges, 4 components
  [GRAPH] 18 branches traced, 86/88 nodes assigned, 2 orphans, 84 edges, 7 components
  [GRAPH] 9 branches traced, 112/112 nodes assigned, 0 orphans, 109 edges, 4 components
  [GRAPH] 8 branches traced, 19/19 nodes assigned, 0 orphans, 13 edges, 6 components
  [GRAPH] 11 branches traced, 118/118 nodes assigned, 0 orphans, 115 edges, 4 components
  [GRAPH] 1 branches traced, 5/5 nodes assigned, 0 orphans, 4 edges, 1 components
  [GRAPH] 6 branches traced, 106/106 nodes assigned, 0 orphans, 102 edges, 4 components
  [GRAPH] 3 branches traced, 77/77 nodes assigned, 0 orphans, 74 edges, 3 components
  [GRAPH] 19 branches traced, 105/105 nodes assigned, 0 orphans, 107 edges, 3 components
  [GRAPH] 3 branches traced, 77/77 nodes assigned, 0 orphans, 74 edges, 3 components
  [GRAPH] 19 branches traced, 89/89 nodes assigned, 0 orphans, 91 edges, 3 components
  [GRAPH] 18 branches traced, 71/71 nodes assigned, 0 orphans, 74 edges, 2 components
  [GRAPH] 648 branches traced, 387/387 nodes assigned, 0 orphans, 668 edges, 5 components
  [GRAPH] 1204 branches traced, 680/680 nodes assigned, 0 orphans, 1211 edges, 15 components
  [GRAPH] 1207 branches traced, 735/735 nodes assigned, 0 orphans, 1213 edges, 21 components
  [GRAPH] 16 branches traced, 160/160 nodes assigned, 0 orphans, 158 edges, 4 components
  [GRAPH] 16 branches traced, 133/133 nodes assigned, 0 orphans, 131 edges, 4 components
  [GRAPH] 13 branches traced, 128/128 nodes assigned, 0 orphans, 125 edges, 4 components
  [GRAPH] 21 branches traced, 129/129 nodes assigned, 0 orphans, 128 edges, 4 components
  [GRAPH] 18 branches traced, 121/121 nodes assigned, 0 orphans, 120 edges, 4 components
