filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,gt_topology_q,recon_topology_q,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim,stem
7437.png,0.6437797416723318,0.32192933258553,0.48705982180738233,0.32567375886524824,0.9655172413793104,0.9992769320633944,27.492989646686326,0.9957899579678462,28.41219204335278,0.34331732127719694,0.20788086718668797,0.3762789620706635,30.104085714439197,0.5351865190488716,3109,14,35,90,55,2.0988235294117645,2.5,425,446,886.9767581761055,3.6541279088749605,0.04924974120729792,-0.009504929860514988,-0.9236274480351092,-0.00021356257792526367,-0.000803713890792146,0.038069094326842357,636.4085674285889,14,35,-21,90,55,2.0988235294117645,2.5,14,0,425,446,280,1.9887371259553883,3.6541279088749605,886.9767581761055,0.04924974120729792,45736,14.710839498230943,21.07944676744934,256x256,65536,sparse,Meijering,425,14,32,3013,30.98367208713093,0.6215497710072645,29.31203005350676,0.9965936718586383,0.3052482269503546,0.3494909052766835,10,3,0.0,37,2932,31.329076290377728,0.6728520752267285,0.9965311155500979,29.080251015406155,0.1692153101773336,0.30014144271570015,655,30.37687313233343,0.5378334564650243,0.9951366078180233,27.81118117867972,0.3749977317172992,0.3357912648893931,-0.8998380101539816,-0.1416100380899955,-0.8795863726917332,-0.0863632519583929,True,0.5524647618955876,0.20788086718668797,0.6532846715328468,28.416617094721435,0.9994904946413197,7437
7438.png,0.6202209005947323,0.5606856510920653,0.7185119574844995,0.5683856502242153,0.9764082811747713,0.9983627811315083,28.08899417406307,0.995926297081278,28.65987594493605,0.48474671144696335,0.3225447395912914,0.5248504698611819,30.974605015623048,0.5853905129260888,2748,6,12,32,24,2.0318302387267906,2.0,377,383,709.9231719924412,4.660000403932931,0.03068759145274699,-0.001584891568811142,-0.6778289737475021,-0.00026814728878388205,-0.000529128567408943,1.7095307988823638e-05,640.7544612884521,6,12,-6,32,24,2.0318302387267906,2.0,6,0,377,383,321,1.8535853054632885,4.660000403932931,709.9231719924412,0.03068759145274699,45245,16.46470160116448,23.848617176128094,256x256,65536,sparse,Otsu,377,6,31,2655,31.50078990263161,0.6418675565911968,29.270989422207847,0.9964554256486869,0.48472961613897453,0.34119871708765503,15,5,0.0,40,2708,31.78609179417898,0.6881737713779122,0.9961004570831399,28.96608708052603,0.3531974997477906,0.4766040907817316,3350,31.82341773344644,0.6795557205765688,0.9973497315371435,30.626874309365533,0.3275598079819593,0.47225336322869954,-0.6111134772717968,-0.01865397749636366,-0.5261848870085615,-0.05647704366510797,True,0.6145459671144078,0.3225447395912914,0.6218057921635435,28.766823147810573,0.9986309284202922,7438
7439.png,0.7713841368584758,0.38351498637602177,0.5544066962087643,0.38416922552030025,0.995579133510168,0.9995322531796775,27.15495625698701,0.9973040780060274,28.094746392926314,0.38943781942078365,0.43305897896307466,0.6322559956426692,30.356311067118945,0.5424991054024311,2657,6,30,70,32,2.1337047353760448,5.0,359,383,689.470915804352,3.9747826860475675,0.03637164591220839,-0.0051783631415242,-0.34638859464765304,-5.4046956693865056e-05,-0.00048582839137301104,-0.0005314743356135132,612.5197410583496,6,30,-24,70,32,2.1337047353760448,5.0,6,0,359,383,257,1.8001851587580948,3.9747826860475675,689.470915804352,0.03637164591220839,45797,17.23635679337599,24.665412118931126,256x256,65536,sparse,Meijering,359,6,29,2589,30.940347782015294,0.6111471152391682,28.703151701731436,0.9977899063974004,0.38996929375639716,0.598280019902414,5,0,0.9166666666666666,33,2628,31.18158529356932,0.660901313861397,0.997623169640956,28.29911757961099,0.630646094100368,0.3855339474582054,3539,31.3087502743187,0.6580934194483452,0.9983557451669685,30.151910341205905,0.6246889011486004,0.3891541609822647,-0.6084053088051213,-0.16522104093933931,-0.5840367148963495,-0.06864800983673713,True,0.6849424630965867,0.43305897896307466,0.7765625,27.501344851634663,0.9995863001363714,7439
7440.png,0.7051282051282052,0.4758269720101781,0.6448275862068965,0.47719298245614034,0.9940199335548173,0.999153149062726,27.795315075314445,0.99656625812955,28.47886061006681,0.493312101910828,0.39447938278433403,0.6128250700442329,31.00731003022436,0.5815230774388197,2532,5,17,42,23,2.070381231671554,3.4,341,353,621.5204537985314,4.273271475719217,0.03878427416698774,-0.019971396465420344,-0.47214653426591724,-0.0001248398440923948,-0.0004400250153157037,0.007023836604705569,598.0391502380371,5,17,-12,42,23,2.070381231671554,3.4,5,0,341,353,276,1.7606811722337963,4.273271475719217,621.5204537985314,0.03878427416698774,45167,17.838467614533965,25.88309636650869,256x256,65536,sparse,Meijering,341,5,30,2497,31.49708111491394,0.6357132308359889,28.969212054264702,0.9970062831448657,0.48628826530612246,0.526451053500765,8,7,0.0,38,2430,31.731839326025334,0.6782219453610753,0.9966710922236945,28.595033094893022,0.4022277524677692,0.4805732484076433,3649,31.947707835788755,0.6902264253379836,0.9979163796355662,30.70353977024917,0.4461764201692413,0.46891934969716287,-0.49035144419789134,-0.131971670716431,-0.4897710846895791,-0.05419015339716915,True,0.6437063398138412,0.39447938278433403,0.7250996015936255,28.267461609580362,0.9992779889068184,7440
7441.png,0.6868300153139357,0.3795975017349063,0.5503018108651911,0.3805217391304348,0.9936421435059037,0.9995088221381164,27.700345665140848,0.9971332638649151,28.429345431444567,0.37946583420048563,0.2871338032077275,0.5052597576508077,30.222094948286777,0.532241516660666,2510,7,20,47,28,2.0773809523809526,2.857142857142857,336,349,643.6954942641405,4.045025268126102,0.043225613251161844,-0.02003899427072886,-0.4471755065849443,-6.638250057344752e-05,-0.0004791042132420431,0.019118008113529095,584.693431854248,7,20,-13,47,28,2.0773809523809526,2.857142857142857,7,0,336,349,261,1.844399697031917,4.045025268126102,643.6954942641405,0.043225613251161844,45784,18.240637450199202,26.10996015936255,256x256,65536,sparse,Meijering,336,7,27,2387,30.766426405862823,0.5962939029738542,29.02695415159147,0.9976123680781571,0.36034782608695654,0.3630799306503629,9,2,0.0,33,2496,31.076968096083583,0.6497161291070678,0.9971828845817975,28.35533291911956,0.24017464386414944,0.3564493758668516,3790,31.28350353859534,0.6690718776697132,0.9981780000052696,30.254388012228684,0.14838863450222717,0.3700760193503801,-0.5976087201469049,-0.0759461274426354,-0.5443314575760461,-0.06405238631318821,True,0.5682894765709203,0.2871338032077275,0.7068690095846646,28.147521171725792,0.9995752046386899,7441
7442.png,0.5941644562334217,0.5217057241644256,0.6856854329714718,0.5312989045383412,0.9665480427046264,0.998710389516318,27.794673149427922,0.9968272527135467,28.09704321059379,0.3741785852338616,0.23087363563142949,0.37647004685026497,30.698029550784433,0.5695330997453153,2316,5,31,62,26,2.1630094043887147,6.2,319,345,637.4720022092587,3.928762578665276,0.0343363943657304,-0.0013180899678103541,-0.719538531964897,-0.00025942621767782725,-0.0007092143958515873,0.012426532046532712,611.0663414001465,5,31,-26,62,26,2.1630094043887147,6.2,5,1,319,345,231,1.8477449339398766,3.928762578665276,637.4720022092587,0.0343363943657304,45042,19.44818652849741,28.29706390328152,256x256,65536,sparse,Meijering,319,5,29,2310,31.48826585614371,0.624750292636477,29.182669842786908,0.9975364671093983,0.3617520531873289,0.24769645379946814,13,3,0.0,37,2238,31.739021579579365,0.6653035995643017,0.9972859569746935,28.95988424811285,0.2637266620788592,0.36813400857031553,4022,32.095229759571254,0.7016104701951915,0.9984021349962277,31.40892133734379,0.2069096915635551,0.3607965638422491,-1.0856266321931187,-0.016822818168038656,-0.7902363053592758,-0.05521719289116167,True,0.6132589765454988,0.23087363563142949,0.5954825462012321,28.51421168139282,0.9989698157339958,7442
7443.png,0.5540380047505938,0.39452395768512755,0.5658188308790718,0.4027954256670902,0.9505247376311844,0.9990021475814821,28.37109342230143,0.9959100632497071,29.084301500503184,0.4044374009508716,0.3268009889629254,0.5308895412037453,31.17348427387156,0.5828674566198121,2493,7,20,46,31,2.074074074074074,2.857142857142857,351,364,726.3994478147227,4.306030430345454,0.035969211477795804,0.005271847288784159,-0.692782526604141,-0.0002425928450127124,-0.00048588114719350095,-0.007364629505981213,635.8675956726074,7,20,-13,46,31,2.074074074074074,2.857142857142857,7,0,351,364,274,1.9956028786118725,4.306030430345454,726.3994478147227,0.035969211477795804,44858,17.99358202968311,26.288006417970315,256x256,65536,sparse,Meijering,351,7,30,2414,31.646536401807083,0.6353838662072943,29.536795822077448,0.9963959443969006,0.4118020304568528,0.44122031111715365,10,6,0.0,40,2324,31.97109578869007,0.6751286985936342,0.9962873857271956,29.453164655931687,0.1332459311045111,0.39175582127123976,3562,32.096973565305056,0.6925829802654498,0.9976114238495137,31.205704941821818,0.09536589337045065,0.39273517541136294,-0.45249432157426384,-0.11441932215422823,-0.4730521279355244,-0.05251640958748216,True,0.6155724752496214,0.3268009889629254,0.5487661574618097,29.063875948905572,0.9992447404264948,7443
7444.png,0.6034390112842558,0.608869501999273,0.7568910980569363,0.6192236598890942,0.9732713538640325,0.998633856509469,27.363358207025854,0.997682037933868,27.817442916428003,0.4588235294117647,0.3581067929792414,0.5891789225291317,30.879042978659204,0.579165636460149,2552,5,15,34,19,2.0597014925373136,3.0,335,345,614.9791238677615,3.890081533389305,0.024879893531756844,-0.006795066015689799,-0.7422834261749145,-0.0003490465034692303,-0.0004102863909148935,0.0020607799660883885,573.4174251556396,5,15,-10,34,19,2.0597014925373136,3.0,5,1,335,345,282,1.782548185123943,3.890081533389305,614.9791238677615,0.024879893531756844,45281,17.74333855799373,25.68025078369906,256x256,65536,sparse,Meijering,335,5,30,2532,31.46386519876372,0.6350446755485327,28.584206154459526,0.9980923243247829,0.4567627494456763,0.4818549206648426,8,6,0.0,39,2542,31.74870281259231,0.6802829594573404,0.9980007366041319,28.451553883841207,0.5256046749117569,0.453638714444034,3592,31.861815076099106,0.6829123935666183,0.9987374061219976,30.679622569253745,0.28733940803160385,0.44308943089430897,-0.7667632380315226,-0.12374812768560117,-0.5848222201045168,-0.055879039088383764,True,0.6078065241064949,0.3581067929792414,0.6102340772999456,28.10564163320077,0.9989829030129382,7444
7445.png,0.6924342105263158,0.5269328263624842,0.6901846856194231,0.5286077558804831,0.9940227136879857,0.9991583917992186,27.555852753256872,0.9972844190983863,28.09182113485429,0.4467005076142132,0.32609536330722166,0.5457884259488033,30.167105275046357,0.536870490779918,2764,6,35,70,33,2.1550802139037435,5.833333333333333,374,403,738.3316782743553,3.8545632626921096,0.03541876298290286,-0.006959060295526398,-0.22828039652949883,-8.075085169656493e-05,-0.00037833397444952954,-0.0003919614038992991,586.8191719055176,6,35,-29,70,33,2.1550802139037435,5.833333333333333,6,1,374,403,271,1.8320885316981483,3.8545632626921096,738.3316782743553,0.03541876298290286,45938,16.620115774240233,23.710564399421127,256x256,65536,sparse,Meijering,374,6,29,2749,30.757401086518033,0.6107037036203382,28.555327408083173,0.9976627530728358,0.4470924690181125,0.3890421287796548,11,7,0.0,33,2594,31.038756633216913,0.6566352849567193,0.9973984409360473,28.0767101327746,0.4462882924201145,0.4199491740787802,3192,31.025411518332792,0.6380158434801669,0.9982094476293274,30.057092133721408,0.3064156054258804,0.4363694065376071,-0.4635062732288837,-0.06294676547243316,-0.5902958114716768,-0.07383321284042021,True,0.597475775966364,0.32609536330722166,0.6993932708218422,27.78413314978637,0.9992391426509152,7445
7446.png,0.6686909581646424,0.4242977015687705,0.5957991803278688,0.4242977015687705,1.0,0.9994893155333816,27.547617188662596,0.9973620458585515,28.294794372481334,0.4682856107285248,0.4674081989931028,0.8102938185325271,30.98516598410338,0.5814187907885585,2242,4,8,20,15,2.027491408934708,2.0,291,295,516.9667706310361,4.593855513739832,0.0229700295003613,-0.011084322734233987,-0.11001912729504326,-4.1805964402841234e-05,-0.00023724033906968867,0.019909105803315064,595.374345779419,4,8,-4,20,15,2.027491408934708,2.0,4,0,291,295,256,1.7524297309526635,4.593855513739832,516.9667706310361,0.0229700295003613,45109,20.119982158786797,29.231043710972347,256x256,65536,sparse,Meijering,291,4,27,2098,31.461714318455382,0.6226633539018656,28.624743551903226,0.9975992861976212,0.44837650492520975,0.39749942946195704,9,2,0.0,37,2216,31.7145752063945,0.6695428575865496,0.9973797379534538,28.46118065358931,0.55603076078622,0.42466253192265596,4078,32.140202250705165,0.7057856137250152,0.9986190735910675,31.3543213483058,0.4566491309255002,0.4568306010928962,-0.3299491794218916,0.06990876953114578,-0.47654833435200317,-0.04124456311330704,True,0.5768379176822511,0.4674081989931028,0.6797752808988764,27.65763631595764,0.9995311214977844,7446
