dataset,id,arm,iou,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5,structure_bytes,split
STARE,im0081,OBS2,0.5257908865404872,4,3,17602.237651637173,9334.39299579828,4.11362880770295,4.033646658757688,666,218,360,118,89,26,0.4393305439330545,0.09395973154362416,0.47698744769874485,0.10738255033557048,,train
STARE,im0081,PIPE,0.6579025110782866,3,3,9504.0,9334.39299579828,5.043096240844464,4.033646658757688,235,218,128,118,25,26,0.6666666666666667,0.18518518518518523,0.7073170731707318,0.2962962962962963,3876.0,train
STARE,im0082,OBS2,0.6079260237780714,23,8,17809.71701582575,10302.832821467571,3.687603462637975,3.937331051118441,703,255,361,136,68,31,0.4869215291750502,0.10178117048346055,0.5070422535211268,0.13231552162849874,,train
STARE,im0082,PIPE,0.6791130820399113,3,8,9830.0,10302.832821467571,5.01688694338501,3.937331051118441,255,255,137,136,26,31,0.5934065934065933,0.23036649214659685,0.6300366300366301,0.3350785340314136,4087.0,train
STARE,im0139,OBS2,0.512657549351425,7,4,17364.984909682287,9988.622576624804,4.586140026126376,4.031352124137923,661,232,367,124,107,25,0.4195519348268839,0.15658362989323843,0.4562118126272913,0.19217081850533807,,train
STARE,im0139,PIPE,0.6626285041438341,8,4,8856.5,9988.622576624804,5.082121006452231,4.031352124137923,230,232,120,124,20,25,0.6475409836065574,0.17297297297297298,0.6967213114754098,0.25945945945945953,3722.0,train
STARE,im0162,OBS2,0.5867785261969104,15,4,18779.95965651287,12452.944653288,3.2826504800768728,3.123565975172696,763,376,406,207,86,53,0.5872756933115824,0.1724137931034483,0.6166394779771615,0.20689655172413793,,train
STARE,im0162,PIPE,0.6448166329771874,3,4,10138.25,12452.944653288,4.38150421289557,3.123565975172696,224,376,118,207,18,53,0.6276923076923077,0.3222748815165877,0.676923076923077,0.40758293838862564,3932.0,train
STARE,im0163,OBS2,0.6423426496258101,6,1,12638.182243341236,9620.186935037622,4.611494808422955,4.078622379554963,380,185,205,101,47,24,0.5686274509803921,0.25641025641025644,0.6274509803921569,0.3076923076923077,,train
STARE,im0163,PIPE,0.6830301685891748,8,1,9426.75,9620.186935037622,5.216126568884875,4.078622379554963,181,185,95,101,20,24,0.5510204081632654,0.3259259259259259,0.6428571428571428,0.5037037037037038,3507.0,train
STARE,im0235,OBS2,0.6022424621050209,5,8,15795.90843229904,9898.907714424042,4.634559989767233,4.467731320737126,527,245,283,127,56,25,0.48292682926829267,0.14965986394557823,0.5414634146341464,0.1836734693877551,,train
STARE,im0235,PIPE,0.7029856696250604,6,8,9306.25,9898.907714424042,5.403860878345998,4.467731320737126,229,245,121,127,22,25,0.6290322580645161,0.25906735751295334,0.6693548387096775,0.3730569948186528,3922.0,train
STARE,im0236,OBS2,0.639799580436554,9,3,14431.294075161666,9789.76557880031,4.767807052141829,4.586104853614142,505,249,262,135,45,35,0.5440806045340051,0.08996539792387544,0.5793450881612091,0.11764705882352942,,train
STARE,im0236,PIPE,0.7341657109471361,3,3,8940.0,9789.76557880031,5.398601206751785,4.586104853614142,211,249,113,135,22,35,0.6290322580645161,0.21118012422360247,0.6532258064516129,0.3602484472049689,3591.0,train
STARE,im0239,OBS2,0.6374463421317015,3,3,13901.675892879686,10334.695736477723,4.619489555755375,4.175194978451363,408,266,219,146,42,40,0.5808219178082191,0.11158798283261803,0.6301369863013699,0.20600858369098715,,train
STARE,im0239,PIPE,0.7058863010940332,4,3,9557.0,10334.695736477723,4.869771471083013,4.175194978451363,239,266,130,146,32,40,0.6014492753623188,0.17073170731707316,0.6594202898550725,0.3170731707317073,3951.0,train
STARE,im0240,OBS2,0.6119806849949918,4,6,14743.60186647499,9050.873226538635,5.291418003324089,5.351383183191278,448,199,240,105,47,22,0.4695652173913044,0.09876543209876543,0.527536231884058,0.14814814814814817,,train
STARE,im0240,PIPE,0.666117679352195,6,6,8884.75,9050.873226538635,5.353026209067845,5.351383183191278,205,199,109,105,19,22,0.6542056074766355,0.2111801242236025,0.6635514018691588,0.28571428571428575,3685.0,train
STARE,im0255,OBS2,0.627368677720496,10,3,18451.952513837936,12295.434985296122,3.812600890406961,3.6699758482800453,738,414,390,223,72,47,0.5742251223491027,0.14318706697459582,0.6035889070146818,0.18937644341801388,,train
STARE,im0255,PIPE,0.7308501916642662,2,3,10505.25,12295.434985296122,4.445037865689262,3.6699758482800453,282,414,150,223,22,47,0.6434316353887399,0.2548262548262548,0.7024128686327078,0.4015444015444016,4352.0,train
STARE,im0291,OBS2,0.6619964361832221,3,5,8023.111683143653,5903.694152050949,3.988472872422818,4.204905268351323,169,95,93,50,26,12,0.5874125874125874,0.10989010989010989,0.6293706293706294,0.10989010989010989,,train
STARE,im0291,PIPE,0.6722648395024949,2,5,5305.25,5903.694152050949,5.115063384774818,4.204905268351323,98,95,54,50,13,12,0.5384615384615384,0.11267605633802817,0.5961538461538461,0.14084507042253522,1996.0,train
STARE,im0319,OBS2,0.57096796803813,8,6,8224.324886579247,5411.111324206155,3.8859286764093275,3.880685160259718,156,94,77,48,12,11,0.512,0.13793103448275862,0.5439999999999999,0.17241379310344826,,train
STARE,im0319,PIPE,0.6130524152106885,8,6,4750.0,5411.111324206155,4.613472307950782,3.880685160259718,71,94,32,48,3,11,0.425,0.09411764705882353,0.47500000000000003,0.16470588235294117,1733.0,train
STARE,im0324,OBS2,0.5460389197253241,6,5,10950.011537017761,6017.42712474619,4.7184473929520205,5.314713719590614,330,107,169,56,28,11,0.32,0.08695652173913043,0.38222222222222224,0.15217391304347827,,val
STARE,im0324,PIPE,0.6129857438491607,8,5,6072.25,6017.42712474619,5.200399800375195,5.314713719590614,143,107,73,56,13,11,0.3565891472868217,0.16363636363636366,0.41860465116279066,0.23636363636363636,2633.0,val
