model,stem,arm,L,iou,precision,recall,bytes,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3
clean_base,7402,GRAPH7,5,0.8477596741344195,0.8908507223113965,0.9460227272727273,179.0,4,5,292.0,319.8772003600252,6.27286777945126,5.668016412689033,8,9,2,2,0,0,1.0,0.5454545454545454
clean_base,7573,SEG,0,0.8904927824788452,0.9356694560669456,0.9485683987274656,,5,5,352.19090885900994,354.43354954612926,5.8631573971190445,5.774336897891298,16,18,6,7,1,1,0.7692307692307692,0.896551724137931
clean_base,7573,SEG,5,0.8904927824788452,0.9356694560669456,0.9485683987274656,,5,5,350.77669529663683,352.01933598375615,5.856941536550593,5.782488196264486,14,16,5,6,1,1,0.9090909090909091,0.962962962962963
clean_base,7573,GRAPH7,0,0.8904927824788452,0.9356694560669456,0.9485683987274656,244.0,5,5,352.25,354.43354954612926,5.84535921468499,5.774336897891298,16,18,6,7,1,1,0.7692307692307692,0.896551724137931
clean_base,7573,GRAPH7,5,0.8904927824788452,0.9356694560669456,0.9485683987274656,244.0,5,5,350.75000000000006,352.01933598375615,5.840421335346507,5.782488196264486,14,16,5,6,1,1,0.9090909090909091,0.962962962962963
clean_base,7578,SEG,0,0.8878990348923533,0.9157733537519143,0.9668552950687146,,5,5,221.23759005323592,228.30865786510142,5.791740737380212,5.401816161488011,11,15,3,5,0,0,0.7499999999999999,0.8571428571428571
clean_base,7578,SEG,5,0.8878990348923533,0.9157733537519143,0.9668552950687146,,5,5,217.23759005323592,226.30865786510142,5.7670272661441615,5.428219063184321,9,11,2,3,0,0,0.8,0.8799999999999999
clean_base,7578,GRAPH7,0,0.8878990348923533,0.9157733537519143,0.9668552950687146,169.0,5,5,221.25,228.30865786510142,5.835119619075484,5.401816161488011,11,15,3,5,0,0,0.7499999999999999,0.8571428571428571
clean_base,7578,GRAPH7,5,0.8878990348923533,0.9157733537519143,0.9668552950687146,169.0,5,5,217.25,226.30865786510142,5.809068887090682,5.428219063184321,9,11,2,3,0,0,0.8,0.8799999999999999
clean_base,7798,SEG,0,0.851880276285495,0.9173553719008265,0.9226932668329177,,4,4,205.30865786510137,234.79393923933998,5.748359678466863,5.558169408425073,6,15,1,6,0,2,0.0,0.7999999999999999
