img,arm,L,n_tubes,bytes,length_endcorr,structure_bytes,seg_iou,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5
clip:6,GRAPH7,auto,4,3997.0,458.7387726706579,213,0.8040229885057472,4,366.5,15.879041282362838,4,0,0,1,11,0,1.0,0.75,1.0,0.875
clip:6,GRAPH6,0,4,3902.0,424.08974388253546,213,0.8040229885057472,4,359.14568304211144,15.830582161832044,4,0,0,4,8,0,1.0,0.75,1.0,0.875
clip:6,GRAPH6,2,4,3902.0,424.08974388253546,213,0.8040229885057472,4,359.14568304211144,15.830582161832044,4,0,0,4,8,0,1.0,0.75,1.0,0.875
clip:6,GRAPH6,5,4,3902.0,424.08974388253546,213,0.8040229885057472,4,359.14568304211144,15.830582161832044,4,0,0,4,8,0,1.0,0.75,1.0,0.875
clip:6,GRAPH6,10,4,3902.0,424.08974388253546,213,0.8040229885057472,4,359.14568304211144,15.830582161832044,4,0,0,4,8,0,1.0,0.75,1.0,0.875
clip:6,GRAPH6,auto,4,3902.0,424.08974388253546,213,0.8040229885057472,4,359.14568304211144,15.830582161832044,4,0,0,4,8,0,1.0,0.75,1.0,0.875
clip:6,GRAPH7p,0,4,,468.83910463823906,213,0.8040229885057472,5,371.9188309203679,14.892644929511176,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:6,GRAPH7p,2,4,,468.83910463823906,213,0.8040229885057472,5,371.9188309203679,14.892644929511176,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:6,GRAPH7p,5,4,,444.1946146342285,213,0.8040229885057472,5,369.50461735799473,14.701931143381005,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:6,GRAPH7p,10,4,,444.1946146342285,213,0.8040229885057472,5,369.50461735799473,14.701931143381005,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:6,GRAPH7p,auto,4,,468.83910463823906,213,0.8040229885057472,4,366.50461735799473,14.711698239359304,4,0,0,1,11,0,1.0,0.75,1.0,0.875
clip:6,JPEG,0,4,3950.0,457.5686258259534,213,0.8040229885057472,5,370.7472580451139,15.842569123853853,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:6,JPEG,2,4,3950.0,457.5686258259534,213,0.8040229885057472,5,370.7472580451139,15.842569123853853,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:6,JPEG,5,4,3950.0,443.1234700248997,213,0.8040229885057472,5,368.3330444827407,15.787977242623311,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:6,JPEG,10,4,3950.0,443.1234700248997,213,0.8040229885057472,5,368.3330444827407,15.787977242623311,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:6,JPEG,auto,4,3950.0,457.5686258259534,213,0.8040229885057472,4,363.9188309203676,15.861668535574493,4,0,0,1,11,0,1.0,0.75,1.0,0.875
clip:3,TRUE,0,4,,398.47518010647167,200,0.8035817446562681,4,398.47518010647167,11.642292280725867,6,1,1,2,8,0,1.0,1.0,1.0,1.0
clip:3,TRUE,2,4,,398.47518010647167,200,0.8035817446562681,4,398.47518010647167,11.642292280725867,6,1,1,2,8,0,1.0,1.0,1.0,1.0
clip:3,TRUE,5,4,,398.47518010647167,200,0.8035817446562681,4,398.47518010647167,11.642292280725867,6,1,1,2,8,0,1.0,1.0,1.0,1.0
clip:3,TRUE,10,4,,398.47518010647167,200,0.8035817446562681,4,398.47518010647167,11.642292280725867,6,1,1,2,8,0,1.0,1.0,1.0,1.0
clip:3,TRUE,auto,4,,398.47518010647167,200,0.8035817446562681,4,398.47518010647167,11.642292280725867,6,1,1,2,8,0,1.0,1.0,1.0,1.0
clip:3,REF,0,4,,465.0930577622239,200,0.8035817446562681,7,393.16147160748693,12.804496343829102,7,0,0,0,14,0,0.0,0.36363636363636365,0.0,0.45454545454545453
clip:3,REF,2,4,,465.0930577622239,200,0.8035817446562681,7,393.16147160748693,12.804496343829102,7,0,0,0,14,0,0.0,0.36363636363636365,0.0,0.45454545454545453
clip:3,REF,5,4,,465.0930577622239,200,0.8035817446562681,7,393.16147160748693,12.804496343829102,7,0,0,0,14,0,0.0,0.36363636363636365,0.0,0.45454545454545453
clip:3,REF,10,4,,465.0930577622239,200,0.8035817446562681,7,393.16147160748693,12.804496343829102,7,0,0,0,14,0,0.0,0.36363636363636365,0.0,0.45454545454545453
clip:3,REF,auto,4,,465.0930577622239,200,0.8035817446562681,4,388.3330444827407,12.89380999440377,4,0,0,0,14,0,0.0,0.5,0.0,0.625
clip:3,SEG,0,4,,452.48776359109235,200,0.8035817446562681,5,376.3330444827407,15.87195342590212,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,SEG,2,4,,452.48776359109235,200,0.8035817446562681,5,376.3330444827407,15.87195342590212,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,SEG,5,4,,452.48776359109235,200,0.8035817446562681,5,376.3330444827407,15.87195342590212,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,SEG,10,4,,452.48776359109235,200,0.8035817446562681,5,376.3330444827407,15.87195342590212,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,SEG,auto,4,,452.48776359109235,200,0.8035817446562681,4,374.3330444827407,15.897857734580384,4,0,0,0,10,0,0.0,0.625,0.0,0.75
clip:3,GRAPH7,0,4,3963.0,452.62983456007635,200,0.8035817446562681,5,376.5,15.87372827927447,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,GRAPH7,2,4,3963.0,452.62983456007635,200,0.8035817446562681,5,376.5,15.87372827927447,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,GRAPH7,5,4,3963.0,452.62983456007635,200,0.8035817446562681,5,376.5,15.87372827927447,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,GRAPH7,10,4,3963.0,452.62983456007635,200,0.8035817446562681,5,376.5,15.87372827927447,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,GRAPH7,auto,4,3963.0,452.62983456007635,200,0.8035817446562681,4,374.5,15.899756200659114,4,0,0,0,10,0,0.0,0.625,0.0,0.75
clip:3,GRAPH6,0,4,3880.0,432.95776625322304,200,0.8035817446562681,4,367.81471494006,15.890008982676171,4,0,0,0,8,0,0.0,0.625,0.0,0.75
clip:3,GRAPH6,2,4,3880.0,432.95776625322304,200,0.8035817446562681,4,367.81471494006,15.890008982676171,4,0,0,0,8,0,0.0,0.625,0.0,0.75
clip:3,GRAPH6,5,4,3880.0,432.95776625322304,200,0.8035817446562681,4,367.81471494006,15.890008982676171,4,0,0,0,8,0,0.0,0.625,0.0,0.75
clip:3,GRAPH6,10,4,3880.0,432.95776625322304,200,0.8035817446562681,4,367.81471494006,15.890008982676171,4,0,0,0,8,0,0.0,0.625,0.0,0.75
clip:3,GRAPH6,auto,4,3880.0,432.95776625322304,200,0.8035817446562681,4,367.81471494006,15.890008982676171,4,0,0,0,8,0,0.0,0.625,0.0,0.75
clip:3,GRAPH7p,0,4,,449.2569778164281,200,0.8035817446562681,5,376.333044482741,14.484949223858164,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,GRAPH7p,2,4,,449.2569778164281,200,0.8035817446562681,5,376.333044482741,14.484949223858164,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,GRAPH7p,5,4,,449.2569778164281,200,0.8035817446562681,5,376.333044482741,14.484949223858164,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,GRAPH7p,10,4,,449.2569778164281,200,0.8035817446562681,5,376.333044482741,14.484949223858164,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.6666666666666665
clip:3,GRAPH7p,auto,4,,449.2569778164281,200,0.8035817446562681,4,374.333044482741,14.490347486145325,4,0,0,0,10,0,0.0,0.625,0.0,0.75
clip:3,JPEG,0,4,3946.0,447.8273047652781,200,0.8035817446562681,5,371.4041122946062,15.917963641674682,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.7777777777777777
clip:3,JPEG,2,4,3946.0,447.8273047652781,200,0.8035817446562681,5,371.4041122946062,15.917963641674682,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.7777777777777777
clip:3,JPEG,5,4,3946.0,447.8273047652781,200,0.8035817446562681,5,371.4041122946062,15.917963641674682,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.7777777777777777
clip:3,JPEG,10,4,3946.0,447.8273047652781,200,0.8035817446562681,5,371.4041122946062,15.917963641674682,5,0,0,0,10,0,0.0,0.5555555555555556,0.0,0.7777777777777777
clip:3,JPEG,auto,4,3946.0,447.8273047652781,200,0.8035817446562681,4,370.4041122946062,15.93065747270202,4,0,0,0,10,0,0.0,0.625,0.0,0.875
clip:11,TRUE,0,4,,398.91883092036755,214,0.7969375086218788,4,398.91883092036755,11.626080741825877,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:11,TRUE,2,4,,398.91883092036755,214,0.7969375086218788,4,398.91883092036755,11.626080741825877,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:11,TRUE,5,4,,398.91883092036755,214,0.7969375086218788,4,398.91883092036755,11.626080741825877,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:11,TRUE,10,4,,398.91883092036755,214,0.7969375086218788,4,398.91883092036755,11.626080741825877,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:11,TRUE,auto,4,,398.91883092036755,214,0.7969375086218788,4,398.91883092036755,11.626080741825877,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:11,REF,0,4,,490.0421709020684,214,0.7969375086218788,7,410.16147160748693,12.769643639953756,9,1,0,1,15,0,0.0,0.43478260869565216,0.0,0.608695652173913
clip:11,REF,2,4,,490.0421709020684,214,0.7969375086218788,7,410.16147160748693,12.769643639953756,9,1,0,1,15,0,0.0,0.43478260869565216,0.0,0.608695652173913
clip:11,REF,5,4,,490.0421709020684,214,0.7969375086218788,7,410.16147160748693,12.769643639953756,9,1,0,1,15,0,0.0,0.43478260869565216,0.0,0.608695652173913
clip:11,REF,10,4,,472.8014510474226,214,0.7969375086218788,7,401.74725804511377,12.673966180701871,7,0,0,1,15,0,1.0,0.45454545454545453,1.0,0.6363636363636364
clip:11,REF,auto,4,,490.0421709020684,214,0.7969375086218788,4,396.9188309203676,12.759760010090929,4,0,0,1,15,0,1.0,0.625,1.0,0.875
clip:11,SEG,0,4,,468.843784683959,214,0.7969375086218788,5,377.67619023324835,16.57731327250637,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,SEG,2,4,,468.843784683959,214,0.7969375086218788,5,377.67619023324835,16.57731327250637,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,SEG,5,4,,468.843784683959,214,0.7969375086218788,5,377.67619023324835,16.57731327250637,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,SEG,10,4,,447.81400639375397,214,0.7969375086218788,5,369.84776310850214,16.38232786896209,5,0,0,1,11,0,1.0,0.4444444444444445,1.0,0.6666666666666665
clip:11,SEG,auto,4,,468.843784683959,214,0.7969375086218788,4,366.43354954612903,16.445272451346266,4,0,0,1,11,0,1.0,0.5,1.0,0.75
clip:11,GRAPH7,0,4,3971.0,468.225995969195,214,0.7969375086218788,5,377.5,16.56006651284897,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,GRAPH7,2,4,3971.0,468.225995969195,214,0.7969375086218788,5,377.5,16.56006651284897,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,GRAPH7,5,4,3971.0,468.225995969195,214,0.7969375086218788,5,377.5,16.56006651284897,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,GRAPH7,10,4,3971.0,447.7700262414178,214,0.7969375086218788,5,369.75,16.388404620961424,5,0,0,1,11,0,1.0,0.4444444444444445,1.0,0.6666666666666665
clip:11,GRAPH7,auto,4,3971.0,468.225995969195,214,0.7969375086218788,4,366.25,16.454232378431364,4,0,0,1,11,0,1.0,0.5,1.0,0.75
clip:11,GRAPH6,0,4,3855.0,447.75091469577706,214,0.7969375086218788,4,366.52160388448067,16.57393378677831,6,1,0,3,9,0,0.0,0.47058823529411764,0.0,0.823529411764706
clip:11,GRAPH6,2,4,3855.0,447.75091469577706,214,0.7969375086218788,4,366.52160388448067,16.57393378677831,6,1,0,3,9,0,0.0,0.47058823529411764,0.0,0.823529411764706
clip:11,GRAPH6,5,4,3855.0,447.75091469577706,214,0.7969375086218788,4,366.52160388448067,16.57393378677831,6,1,0,3,9,0,0.0,0.47058823529411764,0.0,0.823529411764706
clip:11,GRAPH6,10,4,3855.0,428.4864262937168,214,0.7969375086218788,4,360.19704856414387,16.421594224454957,4,0,0,3,9,0,1.0,0.5,1.0,0.75
clip:11,GRAPH6,auto,4,3855.0,447.75091469577706,214,0.7969375086218788,4,344.2696019258049,16.141480016657656,4,0,0,3,9,0,1.0,0.5,1.0,0.75
clip:11,GRAPH7p,0,4,,473.4241199685264,214,0.7969375086218788,5,377.6761902332486,15.323190186460335,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,GRAPH7p,2,4,,473.4241199685264,214,0.7969375086218788,5,377.6761902332486,15.323190186460335,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,GRAPH7p,5,4,,473.4241199685264,214,0.7969375086218788,5,377.6761902332486,15.323190186460335,7,1,0,1,11,0,0.0,0.4210526315789474,0.0,0.7368421052631579
clip:11,GRAPH7p,10,4,,446.27430470249385,214,0.7969375086218788,5,369.84776310850236,14.845327454284806,5,0,0,1,11,0,1.0,0.4444444444444445,1.0,0.6666666666666665
