dataset,L,arm,n,bytes,structure_bytes,junc_f1,n_components_bias_pct,n_components_ccc,n_components_mdape,n_components_vs_jpeg,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,total_length_px_vs_jpeg,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,mean_width_px_vs_jpeg,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_branches_vs_jpeg,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,n_junctions_vs_jpeg,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape,cycle_rank_vs_jpeg
HUMAN,auto,SEG,33,,460.8181818181818,0.2322719465325924,-11.372549019607842,0.7028009584400562,26.666666666666668,,15.867472770375752,0.8699896645784218,33.75973017752953,,49.16177423411117,0.05385779590297986,56.15053262647092,,-9.768378650553878,0.812806284565574,29.629629629629626,,-12.028301886792452,0.7401553117710632,56.038647342995176,,-37.583892617449656,0.49790711580625874,50.0,
HUMAN,auto,JPEG,33,4875.060606060606,460.8181818181818,0.24956940809005626,-10.588235294117649,0.6906329898504687,31.25,,16.548322988089517,0.8774618659144396,32.61871389886909,,46.30760611197356,0.04741130593906661,54.78669421787945,,-7.854984894259819,0.8195092988304565,27.77777777777778,,-9.433962264150944,0.7666784505833039,55.05050505050505,,-37.583892617449656,0.5467582306604727,50.0,
MITO,5,GRAPH7,129,3865.829457364341,376.72093023255815,0.1647549696318203,6.554878048780488,0.736333105199951,26.666666666666668,67/47 p=7.3e-03,-31.574188603472276,0.472192586631576,44.954528795511976,51/78 p=2.8e-02,26.871179001497254,0.07495166918403064,28.511967649861305,43/86 p=2.6e-04,-32.880875202593195,0.4468103057334996,46.73913043478261,62/58 p=3.9e-01,-59.66016362492133,0.20692675451541181,66.66666666666666,45/44 p=8.4e-01,-66.05166051660515,0.09831621862379154,100.0,23/21 p=7.3e-01
MITO,5,SEG,129,,376.72093023255815,0.1647549696318203,6.554878048780488,0.736333105199951,26.666666666666668,,-31.622131208084458,0.4717700686633703,45.042469034392724,,27.030676184813416,0.0751293464871437,28.35061351086392,,-32.880875202593195,0.4468103057334996,46.73913043478261,,-59.66016362492133,0.20692675451541181,66.66666666666666,,-66.05166051660515,0.09831621862379154,100.0,
MITO,5,JPEG,129,3804.5426356589146,376.72093023255815,0.1411990856192551,23.831300813008127,0.6387307177105964,35.714285714285715,,-22.650947474583337,0.49730907282176173,42.61583962233115,,24.851899689803265,0.07139986986613792,27.16512733776088,,-22.690437601296598,0.43828262564139703,48.57142857142857,,-54.18502202643172,0.21131207894816634,66.66666666666666,,-58.30258302583025,0.10879552719315332,100.0,
MITO,auto,GRAPH7,129,3865.829457364341,376.72093023255815,0.1547987025267131,-4.177215189873418,0.7128229910918913,30.952380952380953,57/47 p=2.1e-01,-33.49249791982582,0.4568157606670827,44.83547136227496,52/77 p=1.3e-02,26.670086912293467,0.0695030537591777,28.20414684460776,53/75 p=7.3e-03,-40.92392668842581,0.3748302546881243,50.0,54/63 p=5.6e-01,-65.36994660564454,0.16406689272222014,70.0,43/43 p=8.0e-01,-66.41221374045801,0.1055370082960217,100.0,25/16 p=2.5e-01
MITO,auto,SEG,129,,376.72093023255815,0.15475790285311047,-4.050632911392405,0.7132209090611129,30.952380952380953,,-33.4722269253096,0.4567650703793181,44.96566855693747,,26.742586613378442,0.06642462676427208,27.846187743609356,,-40.67285965352749,0.37443314179220366,50.0,,-65.06483600305111,0.16292151376822264,66.66666666666666,,-66.41221374045801,0.1055370082960217,100.0,
MITO,auto,JPEG,129,3804.5426356589146,376.72093023255815,0.13561092301737868,12.531645569620252,0.6586518954963217,34.71042471042472,,-24.524543420323134,0.48296707715284104,43.414383280534366,,24.973484699383306,0.0686364099510598,27.912155632031038,,-30.931458699472756,0.3721963080477385,48.68421052631579,,-59.87795575896262,0.16587986484714004,67.74193548387096,,-58.77862595419847,0.10715776293823041,100.0,
UIT,5,GRAPH7,43,6427.441860465116,560.6511627906976,0.584362078098359,-12.520593080724876,0.8603383511734969,15.384615384615385,14/10 p=1.3e-01,-7.44069254926207,0.9821167861316978,8.367344162607925,27/16 p=2.8e-02,6.142746891071862,0.5402812232875995,8.0955141807863,18/25 p=2.4e-02,-13.269639065817408,0.9353395848864128,14.285714285714285,18/19 p=4.3e-01,-14.34659090909091,0.9207421833245996,18.198529411764707,15/13 p=3.9e-01,-27.096774193548384,0.7057498122339981,30.0,9/8 p=8.4e-01
UIT,5,SEG,43,,560.6511627906976,0.5836879965344899,-12.520593080724876,0.8603383511734969,15.384615384615385,,-7.496508979375904,0.9820236074554743,8.35612079223742,,6.099221965349682,0.5484360998598443,7.947335737292706,,-13.269639065817408,0.9353395848864128,14.285714285714285,,-14.34659090909091,0.9207421833245996,18.198529411764707,,-27.096774193548384,0.7057498122339981,30.0,
UIT,5,JPEG,43,6314.813953488372,560.6511627906976,0.5480388284889193,-11.202635914332784,0.8382327920297938,18.75,,-8.21172425515242,0.9759467215534711,9.571268705534006,,4.888110787767592,0.5813582244340251,7.158384243961982,,-13.16348195329087,0.9211922890989201,14.285714285714285,,-15.198863636363637,0.9046708134334978,19.523809523809526,,-26.451612903225808,0.7632590010694341,33.33333333333333,
UIT,auto,GRAPH7,43,6427.441860465116,560.6511627906976,0.5684828777670236,-4.761904761904763,0.9429223155832775,10.0,13/9 p=1.3e-01,-7.714336208368002,0.9807880201372643,9.674686239569379,23/20 p=3.3e-01,5.714548724535808,0.5560955286522988,7.070034966433003,20/23 p=1.0e-01,-13.583441138421732,0.9397285546349883,16.666666666666664,16/22 p=9.8e-01,-17.598684210526315,0.9119689326945402,25.0,12/16 p=6.1e-01,-27.27272727272727,0.7059706470980656,33.33333333333333,10/7 p=6.5e-01
UIT,auto,SEG,43,,560.6511627906976,0.5659793636139692,-4.761904761904763,0.9429223155832775,10.0,,-7.769497693946192,0.9806470425180315,9.7413594135111,,5.6655467276546325,0.5653106178871569,7.0126125290766135,,-13.583441138421732,0.9385287612729623,16.666666666666664,,-17.598684210526315,0.9106910450587471,25.0,,-27.27272727272727,0.7059706470980656,33.33333333333333,
UIT,auto,JPEG,43,6314.813953488372,560.6511627906976,0.5333866304421986,-4.112554112554113,0.9235318800327692,11.76470588235294,,-8.369031514924266,0.9761342087526338,9.67914395665944,,4.242852140955667,0.5904182627137857,7.415196404470635,,-12.936610608020699,0.9340067099721606,14.516129032258066,,-17.434210526315788,0.9049293497115776,24.404761904761905,,-25.97402597402597,0.7608643838881385,33.33333333333333,
