nohup: ignoring input
  [GRAPH] 13 branches traced, 200/200 nodes assigned, 0 orphans, 197 edges, 5 components
  [GRAPH] 6 branches traced, 179/179 nodes assigned, 0 orphans, 173 edges, 6 components
  [GRAPH] 1 branches traced, 18/18 nodes assigned, 0 orphans, 17 edges, 1 components
  [GRAPH] 56 branches traced, 152/152 nodes assigned, 0 orphans, 163 edges, 5 components
  [GRAPH] 19 branches traced, 152/152 nodes assigned, 0 orphans, 152 edges, 4 components
  [GRAPH] 15 branches traced, 134/134 nodes assigned, 0 orphans, 131 edges, 5 components
  [GRAPH] 14 branches traced, 199/199 nodes assigned, 0 orphans, 195 edges, 6 components
  [GRAPH] 15 branches traced, 171/171 nodes assigned, 0 orphans, 170 edges, 4 components
  [GRAPH] 10 branches traced, 191/191 nodes assigned, 0 orphans, 187 edges, 5 components
  [GRAPH] 23 branches traced, 148/148 nodes assigned, 0 orphans, 148 edges, 5 components
  [GRAPH] 17 branches traced, 130/130 nodes assigned, 0 orphans, 130 edges, 4 components
  [GRAPH] 30 branches traced, 161/161 nodes assigned, 0 orphans, 165 edges, 5 components
  [GRAPH] 10 branches traced, 169/169 nodes assigned, 0 orphans, 165 edges, 5 components
  [GRAPH] 17 branches traced, 188/188 nodes assigned, 0 orphans, 186 edges, 6 components
  [GRAPH] 21 branches traced, 150/150 nodes assigned, 0 orphans, 150 edges, 5 components
  [GRAPH] 20 branches traced, 156/156 nodes assigned, 0 orphans, 157 edges, 4 components
  [GRAPH] 9 branches traced, 165/165 nodes assigned, 0 orphans, 162 edges, 4 components
  [GRAPH] 10 branches traced, 166/166 nodes assigned, 0 orphans, 162 edges, 5 components
  [GRAPH] 10 branches traced, 122/122 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 12 branches traced, 165/165 nodes assigned, 0 orphans, 162 edges, 5 components
  [GRAPH] 31 branches traced, 195/195 nodes assigned, 0 orphans, 200 edges, 4 components
  [GRAPH] 9 branches traced, 120/120 nodes assigned, 0 orphans, 117 edges, 4 components
  [GRAPH] 23 branches traced, 220/220 nodes assigned, 0 orphans, 220 edges, 6 components
  [GRAPH] 4 branches traced, 112/112 nodes assigned, 0 orphans, 108 edges, 4 components
  [GRAPH] 11 branches traced, 129/129 nodes assigned, 0 orphans, 128 edges, 4 components
  200/726
  [GRAPH] 33 branches traced, 195/195 nodes assigned, 0 orphans, 202 edges, 4 components
  [GRAPH] 9 branches traced, 165/165 nodes assigned, 0 orphans, 162 edges, 4 components
  [GRAPH] 33 branches traced, 52/52 nodes assigned, 0 orphans, 65 edges, 2 components
  [GRAPH] 6 branches traced, 212/212 nodes assigned, 0 orphans, 208 edges, 4 components
  [GRAPH] 13 branches traced, 211/211 nodes assigned, 0 orphans, 209 edges, 5 components
  [GRAPH] 19 branches traced, 162/162 nodes assigned, 0 orphans, 163 edges, 4 components
  [GRAPH] 36 branches traced, 188/188 nodes assigned, 0 orphans, 193 edges, 5 components
  [GRAPH] 18 branches traced, 160/160 nodes assigned, 0 orphans, 162 edges, 4 components
  [GRAPH] 25 branches traced, 194/194 nodes assigned, 0 orphans, 195 edges, 4 components
  [GRAPH] 28 branches traced, 184/184 nodes assigned, 0 orphans, 186 edges, 5 components
  [GRAPH] 24 branches traced, 179/179 nodes assigned, 0 orphans, 178 edges, 6 components
  [GRAPH] 20 branches traced, 137/137 nodes assigned, 0 orphans, 138 edges, 4 components
  [GRAPH] 4 branches traced, 154/154 nodes assigned, 0 orphans, 150 edges, 4 components
  [GRAPH] 28 branches traced, 206/206 nodes assigned, 0 orphans, 210 edges, 4 components
  [GRAPH] 14 branches traced, 175/175 nodes assigned, 0 orphans, 173 edges, 4 components
  [GRAPH] 14 branches traced, 148/148 nodes assigned, 0 orphans, 145 edges, 5 components
  [GRAPH] 5 branches traced, 134/134 nodes assigned, 0 orphans, 129 edges, 5 components
  [GRAPH] 8 branches traced, 152/152 nodes assigned, 0 orphans, 150 edges, 4 components
  [GRAPH] 7 branches traced, 118/118 nodes assigned, 0 orphans, 114 edges, 4 components
  [GRAPH] 18 branches traced, 158/158 nodes assigned, 0 orphans, 157 edges, 4 components
  [GRAPH] 25 branches traced, 139/139 nodes assigned, 0 orphans, 140 edges, 4 components
  [GRAPH] 9 branches traced, 111/111 nodes assigned, 0 orphans, 108 edges, 4 components
  [GRAPH] 19 branches traced, 174/174 nodes assigned, 0 orphans, 173 edges, 4 components
  [GRAPH] 28 branches traced, 164/164 nodes assigned, 0 orphans, 169 edges, 4 components
  [GRAPH] 14 branches traced, 146/146 nodes assigned, 0 orphans, 144 edges, 5 components
  [GRAPH] 9 branches traced, 133/133 nodes assigned, 0 orphans, 130 edges, 5 components
  [GRAPH] 11 branches traced, 134/134 nodes assigned, 0 orphans, 133 edges, 4 components
  [GRAPH] 22 branches traced, 220/220 nodes assigned, 0 orphans, 222 edges, 5 components
  [GRAPH] 24 branches traced, 127/127 nodes assigned, 0 orphans, 130 edges, 4 components
  [GRAPH] 11 branches traced, 175/175 nodes assigned, 0 orphans, 173 edges, 4 components
  [GRAPH] 29 branches traced, 195/195 nodes assigned, 0 orphans, 197 edges, 4 components
  [GRAPH] 20 branches traced, 166/166 nodes assigned, 0 orphans, 167 edges, 5 components
  [GRAPH] 11 branches traced, 114/114 nodes assigned, 0 orphans, 111 edges, 4 components
  [GRAPH] 17 branches traced, 185/185 nodes assigned, 0 orphans, 184 edges, 5 components
  [GRAPH] 26 branches traced, 145/145 nodes assigned, 0 orphans, 146 edges, 5 components
  [GRAPH] 4 branches traced, 127/127 nodes assigned, 0 orphans, 123 edges, 4 components
  [GRAPH] 14 branches traced, 176/176 nodes assigned, 0 orphans, 174 edges, 4 components
  [GRAPH] 13 branches traced, 118/118 nodes assigned, 0 orphans, 117 edges, 4 components
  [GRAPH] 19 branches traced, 142/142 nodes assigned, 0 orphans, 142 edges, 5 components
  [GRAPH] 20 branches traced, 139/139 nodes assigned, 0 orphans, 138 edges, 5 components
  [GRAPH] 4 branches traced, 123/123 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 4 branches traced, 141/141 nodes assigned, 0 orphans, 137 edges, 4 components
  [GRAPH] 11 branches traced, 181/181 nodes assigned, 0 orphans, 179 edges, 4 components
  [GRAPH] 14 branches traced, 150/150 nodes assigned, 0 orphans, 149 edges, 5 components
  [GRAPH] 10 branches traced, 169/169 nodes assigned, 0 orphans, 168 edges, 4 components
  [GRAPH] 11 branches traced, 172/172 nodes assigned, 0 orphans, 171 edges, 4 components
  [GRAPH] 12 branches traced, 172/172 nodes assigned, 0 orphans, 169 edges, 5 components
  [GRAPH] 17 branches traced, 176/176 nodes assigned, 0 orphans, 173 edges, 6 components
  [GRAPH] 17 branches traced, 90/90 nodes assigned, 0 orphans, 91 edges, 4 components
  [GRAPH] 15 branches traced, 129/129 nodes assigned, 0 orphans, 128 edges, 4 components
  [GRAPH] 4 branches traced, 113/113 nodes assigned, 0 orphans, 109 edges, 4 components
  [GRAPH] 5 branches traced, 117/117 nodes assigned, 0 orphans, 112 edges, 5 components
  [GRAPH] 25 branches traced, 151/151 nodes assigned, 0 orphans, 154 edges, 4 components
  [GRAPH] 5 branches traced, 87/87 nodes assigned, 0 orphans, 83 edges, 4 components
  [GRAPH] 21 branches traced, 171/171 nodes assigned, 0 orphans, 171 edges, 4 components
  [GRAPH] 11 branches traced, 178/178 nodes assigned, 0 orphans, 176 edges, 4 components
  [GRAPH] 36 branches traced, 200/200 nodes assigned, 0 orphans, 205 edges, 5 components
  [GRAPH] 12 branches traced, 157/157 nodes assigned, 0 orphans, 155 edges, 4 components
  [GRAPH] 19 branches traced, 169/169 nodes assigned, 0 orphans, 168 edges, 4 components
  [GRAPH] 22 branches traced, 142/142 nodes assigned, 0 orphans, 144 edges, 4 components
  [GRAPH] 8 branches traced, 105/105 nodes assigned, 0 orphans, 102 edges, 4 components
  [GRAPH] 24 branches traced, 199/199 nodes assigned, 0 orphans, 199 edges, 4 components
  [GRAPH] 27 branches traced, 157/157 nodes assigned, 0 orphans, 159 edges, 4 components
  [GRAPH] 9 branches traced, 159/159 nodes assigned, 0 orphans, 156 edges, 4 components
  [GRAPH] 21 branches traced, 156/156 nodes assigned, 0 orphans, 158 edges, 4 components
  [GRAPH] 4 branches traced, 150/150 nodes assigned, 0 orphans, 146 edges, 4 components
  [GRAPH] 5 branches traced, 161/161 nodes assigned, 0 orphans, 156 edges, 5 components
  [GRAPH] 18 branches traced, 167/167 nodes assigned, 0 orphans, 168 edges, 4 components
  [GRAPH] 38 branches traced, 172/172 nodes assigned, 0 orphans, 178 edges, 5 components
  [GRAPH] 11 branches traced, 141/141 nodes assigned, 0 orphans, 139 edges, 4 components
  [GRAPH] 26 branches traced, 176/176 nodes assigned, 0 orphans, 178 edges, 5 components
  [GRAPH] 18 branches traced, 161/161 nodes assigned, 0 orphans, 161 edges, 4 components
  [GRAPH] 16 branches traced, 198/198 nodes assigned, 0 orphans, 197 edges, 4 components
  [GRAPH] 20 branches traced, 183/183 nodes assigned, 0 orphans, 184 edges, 4 components
  [GRAPH] 7 branches traced, 152/152 nodes assigned, 0 orphans, 147 edges, 5 components
  [GRAPH] 9 branches traced, 114/114 nodes assigned, 0 orphans, 111 edges, 4 components
  [GRAPH] 13 branches traced, 168/168 nodes assigned, 0 orphans, 163 edges, 6 components
  [GRAPH] 29 branches traced, 183/183 nodes assigned, 0 orphans, 187 edges, 5 components
  [GRAPH] 22 branches traced, 177/177 nodes assigned, 0 orphans, 179 edges, 5 components
