filename,kind,level,seg_iou,beta0,beta1,n_nodes,total_edge_length,mean_width
7262,dilate,2,0.5933456561922366,4,0,50,214.25,10.717004374955788
7262,erode,2,0.36074766355140186,5,0,52,193.25,3.1230462849798792
7262,dilate,3,0.5001558117793705,4,0,53,201.75,12.689181830336388
7262,erode,3,0.15389408099688473,3,0,23,85.75,3.0528389855614635
7262,dilate,4,0.4144074360960496,4,0,52,209.0,14.95606736242155
7262,erode,4,0.05046728971962617,1,0,9,15.249999999999996,4.168368448338546
7262,dilate,5,0.3593015446608462,4,0,43,158.75,16.52406260205711
7262,erode,5,0.022429906542056073,1,0,2,8.0,3.25
7262,drop_components,0.05,0.7094430992736077,3,0,41,174.25,6.4863632776131785
7262,drop_components,0.1,0.6572459410703548,3,0,42,183.0,5.916213551605334
7262,drop_components,0.2,0.7094430992736077,3,0,41,174.25,6.4863632776131785
7262,drop_components,0.3,0.6218335343787696,3,0,30,130.5,7.2420583369410965
7262,drop_components,0.4,0.39878419452887537,2,0,22,92.5,6.261251529868293
7262,boundary_noise,1,0.7336927223719677,4,49,333,644.5,3.602799436594126
7262,boundary_noise,2,0.5039553280595626,5,70,579,1006.0,2.488616625285651
7262,boundary_noise,3,0.3867494824016563,12,94,702,1230.0,2.2389269169208585
7263,baseline,0,0.9116314199395771,4,0,46,219.0,5.529858927517942
7263,dilate,1,0.7193083573487031,4,1,53,214.0,7.296574090151956
7263,erode,1,0.6719872306464485,4,0,44,219.5,3.893101891157585
7263,dilate,2,0.5351027397260274,4,0,47,218.75,9.584322628633972
7263,erode,2,0.26139088729016785,7,0,42,143.0,2.8376381384851745
7263,dilate,3,0.442008486562942,4,0,45,207.75,11.544107828053326
7263,erode,3,0.08,3,0,18,75.0,2.122331106836134
7263,dilate,4,0.361794500723589,4,1,49,220.00000000000003,13.517287903378621
7263,erode,4,0.008,1,0,3,5.75,2.25
7263,dilate,5,0.3100198412698413,4,1,44,208.75,15.829366064882434
7263,erode,5,0.0,0,0,0,0.0,0.0
7263,drop_components,0.05,0.6946386946386947,3,0,28,137.0,6.320569200073922
7263,drop_components,0.1,0.7452471482889734,3,0,36,169.5,5.709081985165558
7263,drop_components,0.2,0.6946386946386947,3,0,28,137.0,6.320569200073922
7263,drop_components,0.3,0.7452471482889734,3,0,36,169.5,5.709081985165558
7263,drop_components,0.4,0.5219092331768388,2,0,18,87.5,7.115065963077257
7263,boundary_noise,1,0.7032085561497327,4,42,302,578.75,3.118947400186085
7263,boundary_noise,2,0.43131868131868134,6,58,512,897.75,2.268604087508662
7263,boundary_noise,3,0.32895377128953773,15,86,638,1108.75,2.078445720663384
7264,baseline,0,0.8366788321167883,4,0,39,185.75,5.736624816692919
7264,dilate,1,0.6652748782185108,4,0,36,168.25,7.636573871560357
7264,erode,1,0.626232741617357,4,0,38,176.75,4.232225844985752
7264,dilate,2,0.5115911485774499,4,0,37,172.5,10.021237714120318
7264,erode,2,0.25249500998003993,4,0,37,121.25,2.8702125886674006
7264,dilate,3,0.42055267702936094,4,0,34,160.0,12.01227228577051
7264,erode,3,0.08124373119358075,1,0,7,20.500000000000004,4.389372221927858
7264,dilate,4,0.34810578984989277,4,0,39,172.25,13.909527435609013
7264,erode,4,0.032160804020100506,1,0,3,14.0,3.6844599222175964
7264,dilate,5,0.29302045728038506,3,0,31,146.0,16.337557117511967
7264,erode,5,0.006054490413723511,1,0,3,9.5,2.9394745690767135
7264,drop_components,0.05,0.6685133887349953,3,0,31,144.25,5.941934101063247
7264,drop_components,0.1,0.6685133887349953,3,0,31,144.25,5.941934101063247
7264,drop_components,0.2,0.7178308823529411,3,0,32,158.0,5.820252991075639
7264,drop_components,0.3,0.7884972170686456,3,0,35,170.75,5.849314953856987
7264,drop_components,0.4,0.6169014084507042,2,0,27,129.25,6.11463414118951
7264,boundary_noise,1,0.6542597187758478,4,18,224,395.5,3.592157635656625
7264,boundary_noise,2,0.4219495569188821,8,52,445,724.75,2.337345766162356
7264,boundary_noise,3,0.30118343195266273,10,71,492,892.5,2.147485416228257
7265,baseline,0,0.8966712898751734,5,0,49,233.75,5.828488450970572
7265,dilate,1,0.7378378378378379,5,0,48,218.0,7.605523187186566
7265,erode,1,0.6509433962264151,5,0,49,230.25,4.152719229269021
7265,dilate,2,0.5523885989562425,5,0,50,223.25000000000003,9.896295427218112
7265,erode,2,0.25054466230936817,9,0,42,169.5,2.57276234370557
7265,dilate,3,0.4556585043017869,5,0,44,207.0,11.691210358911732
7265,erode,3,0.05664488017429194,4,0,16,60.75,2.059942070343266
7265,dilate,4,0.3754089422028353,4,1,53,239.50000000000003,12.958146035199482
7265,erode,4,0.0007262164124909223,0,0,0,0.0,0.0
7265,dilate,5,0.3184551341350601,4,1,47,215.5,15.73435769930234
7265,erode,5,0.0,0,0,0,0.0,0.0
7265,drop_components,0.05,0.6680790960451978,4,0,37,170.75,5.666738788772234
7265,drop_components,0.1,0.7976273551988835,4,0,39,196.25,6.137362382602018
7265,drop_components,0.2,0.6357894736842106,4,0,38,179.0,5.440098252368629
7265,drop_components,0.3,0.5338983050847458,3,0,28,141.5,5.76555321092056
7265,drop_components,0.4,0.4774330042313117,3,0,31,136.75,5.458116661978451
7265,boundary_noise,1,0.7123287671232876,5,34,301,563.25,3.2650113093777047
7265,boundary_noise,2,0.446676970633694,9,63,560,947.75,2.240486166261422
7265,boundary_noise,3,0.32362169430748544,15,92,692,1190.75,2.082880620452361
7266,baseline,0,0.9346764346764347,5,0,49,235.0,6.442296937656033
7266,dilate,1,0.7617675312199808,4,0,47,245.0,8.16939583556474
