nohup: ignoring input
228 MIP tiles
  [GRAPH] 25 branches traced, 185/185 nodes assigned, 0 orphans, 187 edges, 3 components
  [GRAPH] 149 branches traced, 669/669 nodes assigned, 0 orphans, 691 edges, 15 components
  [GRAPH] 70 branches traced, 432/432 nodes assigned, 0 orphans, 417 edges, 27 components
  [GRAPH] 72 branches traced, 384/384 nodes assigned, 0 orphans, 390 edges, 10 components
  [GRAPH] 74 branches traced, 280/281 nodes assigned, 1 orphans, 277 edges, 19 components
  [GRAPH] 114 branches traced, 449/449 nodes assigned, 0 orphans, 458 edges, 24 components
  [GRAPH] 71 branches traced, 417/417 nodes assigned, 0 orphans, 401 edges, 29 components
  [GRAPH] 90 branches traced, 456/456 nodes assigned, 0 orphans, 438 edges, 34 components
  [GRAPH] 52 branches traced, 249/249 nodes assigned, 0 orphans, 240 edges, 20 components
  [GRAPH] 73 branches traced, 400/400 nodes assigned, 0 orphans, 395 edges, 20 components
  [GRAPH] 51 branches traced, 299/299 nodes assigned, 0 orphans, 302 edges, 7 components
  [GRAPH] 109 branches traced, 614/614 nodes assigned, 0 orphans, 619 edges, 20 components
  [GRAPH] 126 branches traced, 686/686 nodes assigned, 0 orphans, 704 edges, 11 components
  [GRAPH] 158 branches traced, 582/582 nodes assigned, 0 orphans, 613 edges, 11 components
  [GRAPH] 73 branches traced, 417/418 nodes assigned, 1 orphans, 420 edges, 16 components
  [GRAPH] 87 branches traced, 482/482 nodes assigned, 0 orphans, 467 edges, 33 components
  [GRAPH] 88 branches traced, 493/493 nodes assigned, 0 orphans, 504 edges, 10 components
  [GRAPH] 51 branches traced, 226/226 nodes assigned, 0 orphans, 214 edges, 21 components
  [GRAPH] 54 branches traced, 301/302 nodes assigned, 1 orphans, 299 edges, 16 components
  [GRAPH] 126 branches traced, 485/485 nodes assigned, 0 orphans, 500 edges, 15 components
  [GRAPH] 79 branches traced, 393/393 nodes assigned, 0 orphans, 409 edges, 3 components
  [GRAPH] 109 branches traced, 500/501 nodes assigned, 1 orphans, 484 edges, 37 components
  [GRAPH] 59 branches traced, 304/304 nodes assigned, 0 orphans, 300 edges, 15 components
  [GRAPH] 109 branches traced, 462/462 nodes assigned, 0 orphans, 446 edges, 36 components
  [GRAPH] 47 branches traced, 204/204 nodes assigned, 0 orphans, 208 edges, 7 components
  [GRAPH] 41 branches traced, 210/210 nodes assigned, 0 orphans, 196 edges, 20 components
  [GRAPH] 58 branches traced, 370/370 nodes assigned, 0 orphans, 341 edges, 36 components
  [GRAPH] 33 branches traced, 203/203 nodes assigned, 0 orphans, 180 edges, 25 components
  [GRAPH] 96 branches traced, 553/553 nodes assigned, 0 orphans, 551 edges, 23 components
  [GRAPH] 135 branches traced, 616/616 nodes assigned, 0 orphans, 642 edges, 6 components
  [GRAPH] 101 branches traced, 474/474 nodes assigned, 0 orphans, 485 edges, 14 components
  [GRAPH] 125 branches traced, 561/561 nodes assigned, 0 orphans, 573 edges, 17 components
  [GRAPH] 207 branches traced, 755/755 nodes assigned, 0 orphans, 805 edges, 9 components
  [GRAPH] 97 branches traced, 509/509 nodes assigned, 0 orphans, 515 edges, 18 components
  [GRAPH] 69 branches traced, 268/268 nodes assigned, 0 orphans, 273 edges, 13 components
  [GRAPH] 27 branches traced, 152/152 nodes assigned, 0 orphans, 140 edges, 16 components
  [GRAPH] 62 branches traced, 347/348 nodes assigned, 1 orphans, 341 edges, 19 components
  [GRAPH] 96 branches traced, 400/400 nodes assigned, 0 orphans, 396 edges, 24 components
  [GRAPH] 62 branches traced, 294/294 nodes assigned, 0 orphans, 284 edges, 20 components
  [GRAPH] 71 branches traced, 382/382 nodes assigned, 0 orphans, 389 edges, 9 components
  [GRAPH] 79 branches traced, 341/341 nodes assigned, 0 orphans, 340 edges, 20 components
  [GRAPH] 66 branches traced, 265/265 nodes assigned, 0 orphans, 259 edges, 20 components
  [GRAPH] 41 branches traced, 220/220 nodes assigned, 0 orphans, 201 edges, 25 components
  [GRAPH] 68 branches traced, 390/390 nodes assigned, 0 orphans, 375 edges, 28 components
  [GRAPH] 100 branches traced, 410/410 nodes assigned, 0 orphans, 419 edges, 13 components
  [GRAPH] 65 branches traced, 305/305 nodes assigned, 0 orphans, 306 edges, 14 components
  [GRAPH] 27 branches traced, 151/151 nodes assigned, 0 orphans, 139 edges, 15 components
  [GRAPH] 63 branches traced, 310/310 nodes assigned, 0 orphans, 287 edges, 32 components
  [GRAPH] 64 branches traced, 419/419 nodes assigned, 0 orphans, 417 edges, 14 components
  [GRAPH] 110 branches traced, 407/408 nodes assigned, 1 orphans, 394 edges, 36 components
  [GRAPH] 53 branches traced, 292/292 nodes assigned, 0 orphans, 268 edges, 30 components
  [GRAPH] 156 branches traced, 536/536 nodes assigned, 0 orphans, 543 edges, 34 components
  [GRAPH] 117 branches traced, 470/470 nodes assigned, 0 orphans, 487 edges, 12 components
  [GRAPH] 85 branches traced, 390/390 nodes assigned, 0 orphans, 380 edges, 31 components
  [GRAPH] 48 branches traced, 243/243 nodes assigned, 0 orphans, 235 edges, 18 components
  [GRAPH] 99 branches traced, 521/521 nodes assigned, 0 orphans, 546 edges, 2 components
  [GRAPH] 36 branches traced, 350/350 nodes assigned, 0 orphans, 349 edges, 7 components
  [GRAPH] 71 branches traced, 308/308 nodes assigned, 0 orphans, 291 edges, 31 components
  [GRAPH] 66 branches traced, 397/397 nodes assigned, 0 orphans, 393 edges, 19 components
  [GRAPH] 34 branches traced, 235/236 nodes assigned, 1 orphans, 205 edges, 32 components
  [GRAPH] 26 branches traced, 118/118 nodes assigned, 0 orphans, 116 edges, 7 components
  [GRAPH] 57 branches traced, 326/326 nodes assigned, 0 orphans, 330 edges, 10 components
  [GRAPH] 65 branches traced, 360/360 nodes assigned, 0 orphans, 373 edges, 4 components
  [GRAPH] 85 branches traced, 405/405 nodes assigned, 0 orphans, 418 edges, 8 components
  [GRAPH] 50 branches traced, 308/308 nodes assigned, 0 orphans, 321 edges, 2 components
  [GRAPH] 137 branches traced, 612/612 nodes assigned, 0 orphans, 637 edges, 10 components
  [GRAPH] 151 branches traced, 690/690 nodes assigned, 0 orphans, 721 edges, 7 components
  [GRAPH] 117 branches traced, 490/490 nodes assigned, 0 orphans, 516 edges, 5 components
otsu       n=228 IoU=0.221 P=0.282 R=0.655 P@dil20=0.380
  [GRAPH] 14 branches traced, 24/24 nodes assigned, 0 orphans, 24 edges, 4 components
  [GRAPH] 1 branches traced, 7/7 nodes assigned, 0 orphans, 6 edges, 1 components
  [GRAPH] 2 branches traced, 4/4 nodes assigned, 0 orphans, 2 edges, 2 components
  [GRAPH] 3 branches traced, 25/25 nodes assigned, 0 orphans, 22 edges, 3 components
  [GRAPH] 1 branches traced, 9/9 nodes assigned, 0 orphans, 8 edges, 1 components
  fail frangi M1_001_y256x768 index out of range
  fail frangi M1_001_y512x512 index out of range
  [GRAPH] 11 branches traced, 42/42 nodes assigned, 0 orphans, 39 edges, 5 components
  [GRAPH] 3 branches traced, 28/28 nodes assigned, 0 orphans, 25 edges, 3 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 3 branches traced, 10/10 nodes assigned, 0 orphans, 7 edges, 3 components
  [GRAPH] 1 branches traced, 11/11 nodes assigned, 0 orphans, 10 edges, 1 components
  [GRAPH] 2 branches traced, 8/8 nodes assigned, 0 orphans, 6 edges, 2 components
  [GRAPH] 3 branches traced, 21/21 nodes assigned, 0 orphans, 18 edges, 3 components
  fail frangi M1_003_y512x768 index out of range
  [GRAPH] 1 branches traced, 21/21 nodes assigned, 0 orphans, 20 edges, 1 components
  fail frangi M1_003_y768x768 index out of range
  [GRAPH] 2 branches traced, 2/2 nodes assigned, 0 orphans, 2 edges, 1 components
  [GRAPH] 2 branches traced, 11/11 nodes assigned, 0 orphans, 9 edges, 2 components
  [GRAPH] 1 branches traced, 11/11 nodes assigned, 0 orphans, 10 edges, 1 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 3 branches traced, 7/7 nodes assigned, 0 orphans, 4 edges, 3 components
  [GRAPH] 1 branches traced, 3/3 nodes assigned, 0 orphans, 2 edges, 1 components
  [GRAPH] 1 branches traced, 3/3 nodes assigned, 0 orphans, 2 edges, 1 components
  fail frangi M1_005_y512x0 index out of range
  fail frangi M1_005_y512x768 index out of range
  fail frangi M1_005_y768x0 index out of range
  fail frangi M1_005_y768x256 index out of range
  [GRAPH] 1 branches traced, 4/4 nodes assigned, 0 orphans, 3 edges, 1 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  fail frangi M1_006_y0x512 index out of range
  [GRAPH] 1 branches traced, 8/8 nodes assigned, 0 orphans, 7 edges, 1 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 2 branches traced, 9/9 nodes assigned, 0 orphans, 7 edges, 2 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  fail frangi M1_006_y768x768 index out of range
  [GRAPH] 2 branches traced, 6/6 nodes assigned, 0 orphans, 4 edges, 2 components
  fail frangi M1_007_y512x256 index out of range
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  fail frangi M1_007_y768x0 index out of range
  [GRAPH] 2 branches traced, 14/14 nodes assigned, 0 orphans, 12 edges, 2 components
  fail frangi M1_007_y768x512 index out of range
  fail frangi M1_008_y0x768 index out of range
  fail frangi M1_008_y256x256 index out of range
  [GRAPH] 1 branches traced, 7/7 nodes assigned, 0 orphans, 6 edges, 1 components
  [GRAPH] 2 branches traced, 2/2 nodes assigned, 0 orphans, 2 edges, 1 components
  [GRAPH] 1 branches traced, 4/4 nodes assigned, 0 orphans, 3 edges, 1 components
  fail frangi M1_008_y512x768 index out of range
  fail frangi M1_008_y768x0 index out of range
  fail frangi M1_008_y768x256 index out of range
  [GRAPH] 1 branches traced, 6/6 nodes assigned, 0 orphans, 5 edges, 1 components
  [GRAPH] 5 branches traced, 33/34 nodes assigned, 1 orphans, 29 edges, 5 components
  fail frangi M1_009_y256x512 index out of range
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  fail frangi M1_009_y512x768 index out of range
  [GRAPH] 3 branches traced, 24/24 nodes assigned, 0 orphans, 21 edges, 3 components
  fail frangi M1_010_y0x0 index out of range
  [GRAPH] 1 branches traced, 7/7 nodes assigned, 0 orphans, 6 edges, 1 components
  [GRAPH] 1 branches traced, 5/5 nodes assigned, 0 orphans, 4 edges, 1 components
  [GRAPH] 3 branches traced, 13/13 nodes assigned, 0 orphans, 10 edges, 3 components
  [GRAPH] 2 branches traced, 5/5 nodes assigned, 0 orphans, 3 edges, 2 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  fail frangi M1_010_y768x768 index out of range
  fail frangi M1_011_y0x768 index out of range
  fail frangi M1_011_y256x512 index out of range
  fail frangi M1_011_y256x768 index out of range
  [GRAPH] 1 branches traced, 5/5 nodes assigned, 0 orphans, 4 edges, 1 components
  fail frangi M1_011_y512x768 index out of range
  fail frangi M1_011_y768x768 index out of range
  [GRAPH] 2 branches traced, 16/16 nodes assigned, 0 orphans, 14 edges, 2 components
  [GRAPH] 2 branches traced, 16/16 nodes assigned, 0 orphans, 14 edges, 2 components
  fail frangi M1_012_y256x768 index out of range
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 2 branches traced, 16/16 nodes assigned, 0 orphans, 14 edges, 2 components
  fail frangi M1_012_y768x256 index out of range
  fail frangi M1_012_y768x512 index out of range
  [GRAPH] 1 branches traced, 7/7 nodes assigned, 0 orphans, 6 edges, 1 components
  fail frangi M1_013_y0x768 index out of range
  fail frangi M1_013_y256x256 index out of range
  fail frangi M1_013_y256x768 index out of range
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  fail frangi M1_013_y512x768 index out of range
  fail frangi M1_013_y768x768 index out of range
  fail frangi M1_014_y256x768 index out of range
  [GRAPH] 1 branches traced, 15/15 nodes assigned, 0 orphans, 14 edges, 1 components
  fail frangi M1_014_y512x256 index out of range
  [GRAPH] 2 branches traced, 6/6 nodes assigned, 0 orphans, 4 edges, 2 components
  [GRAPH] 1 branches traced, 4/4 nodes assigned, 0 orphans, 3 edges, 1 components
  fail frangi M1_014_y768x768 index out of range
  [GRAPH] 14 branches traced, 73/73 nodes assigned, 0 orphans, 72 edges, 4 components
  fail frangi M1_015_y256x512 index out of range
  [GRAPH] 2 branches traced, 5/5 nodes assigned, 0 orphans, 3 edges, 2 components
  [GRAPH] 1 branches traced, 3/3 nodes assigned, 0 orphans, 2 edges, 1 components
