filename,fg_psnr_with,fg_psnr_without,fg_ssim_with,fg_ssim_without,full_psnr_with,full_psnr_without,bytes_with,bytes_without
7576,28.192534827706357,12.418722731676887,0.9991905502722332,0.9657155390474654,30.516234729989495,13.424238312884334,2325,1484
7577,27.707392991442376,10.90741773871239,0.9993823718857856,0.96799389214363,30.528698904581248,13.51303779252778,2209,1423
7578,28.048106587093766,11.900886154704471,0.9993699237706885,0.969901982586787,30.499174327577943,13.250185052150854,2045,1293
7579,28.551394344775844,12.640539467782112,0.9994426695159775,0.9797509005870687,30.293551033271726,12.678545759187674,1663,1109
7581,27.996028444652943,12.765715199477919,0.9988189928765815,0.9696473640760417,31.195779691935563,15.106069210706462,2198,1329
7582,28.265943968253808,12.391695089828097,0.9988817443164723,0.9694890793181913,30.131741770897435,12.6698798900714,2285,1441
7583,28.366835066636273,12.8069322886983,0.9990991218880008,0.9665958004465585,31.082954751726426,14.896553567250173,2312,1524
7584,28.265287276324372,12.547886937680108,0.9989126997089477,0.9608038929797506,31.42829587915387,15.489905649000038,2550,1570
7585,27.914227081166914,12.289519138399799,0.9990105881341368,0.9739536512312226,30.993426121064374,14.225536644863526,1950,1202
7586,27.675360147225845,11.951553880975219,0.9989998235457042,0.9688095341250179,30.2270878060963,12.82159563823493,2299,1429
7587,27.933989540978597,12.446205717517824,0.9992107147879162,0.9725783058197007,30.753539005965976,14.060429057347735,2329,1452
7588,28.17558032660503,11.278218488045406,0.9995061516146658,0.9670513289980825,30.719402420039813,13.704593537042008,2273,1472
7589,28.560306596310788,14.05789596368308,0.9990948666755739,0.9757188524536435,31.36159769024041,15.14773498046906,2030,1309
7590,27.639605349147832,12.279316636475981,0.9989779209210378,0.9678892578171279,31.219037451466136,15.105787428358537,2248,1364
7591,28.42521738658629,12.620956531552759,0.9988646454749783,0.9684193799576258,30.32198920483214,13.113456381617768,2251,1429
7592,27.760581713236515,12.246841544494561,0.9990661620303697,0.9669511979076975,31.1310627487317,15.044812885870929,2454,1524
7593,27.76417841847779,11.24461921408149,0.9993308734564993,0.9666224914244912,30.903845402982743,14.318004095056555,2264,1427
7594,28.301817063296696,11.770057569268005,0.9994739085928659,0.9704052178889123,31.123517955811394,14.537585472237947,2039,1341
7595,28.166441445180936,12.048121252808166,0.9992731591640587,0.9722337533928738,31.28852491178649,14.911392664261394,1893,1152
