filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
d2_d0002_p0217_t0000.png	0.980281	24.667487	1.000000	0.999990	24.608193	0.481863	54101	17	837	1500	123	2.265286	49.235294	6182	7002	12730.868004	3.710722	0.079026	-0.007134	0.457327	22677.273512	0.585102	17	837	-820	1500	123	2.265286	49.235294	18	180	6182	7002	4559	1.818176	3.710722	12730.868004	0.079026	275368	5.089887	6.654221	600x600	360000	dense	Learned	6382	18	60	53831	28.659171	0.748475	26.441430	0.987415	0.542673	0.267289	1674	2289	0.000000	44	51990	30.366131	0.848302	0.992092	28.437832	0.247745	0.535888	1050	24.049118	0.401634	0.951873	20.549291	0.972263	0.501821	-1.773944	0.732702	-4.050978	-0.266612	False	d2_d0002_p0217_t0000
d2_d0002_p0235_t0000.png	0.981665	23.903630	1.000000	0.997755	24.467512	0.383259	35594	20	534	922	63	2.269251	26.700000	3818	4332	7407.020624	4.066768	0.069087	-0.001409	0.629856	23316.024542	0.355452	20	534	-514	922	63	2.269251	26.700000	20	122	3818	4332	2833	1.709839	4.066768	7407.020624	0.069087	275681	7.745154	10.114064	600x600	360000	dense	Learned	4018	20	38	35443	26.898041	0.630394	24.219969	0.983074	0.370144	0.275287	1687	2384	0.000000	25	35570	27.576063	0.727376	0.987486	25.280589	0.238613	0.364846	1816	24.963351	0.358118	0.963552	21.435909	0.929584	0.353606	-0.316339	0.722468	-2.430528	-0.247135	False	d2_d0002_p0235_t0000
d2_d0002_p0238_t0000.png	0.985825	21.437681	1.000000	1.000000	21.766266	0.213713	28854	5	433	756	33	2.326967	86.600000	2618	3046	5721.190401	4.131344	0.059286	0.007636	0.389480	18659.475803	0.604413	5	433	-428	756	33	2.326967	86.600000	5	93	2618	3046	1829	1.878263	4.131344	5721.190401	0.059286	261525	9.063735	12.476606	600x600	360000	sparse	Learned	2738	5	19	27681	22.528910	0.492140	19.593338	0.978189	0.610520	0.487567	219	638	0.000000	6	26638	23.295320	0.555519	0.990481	22.789418	0.186241	0.568730	2121	21.341798	0.181847	0.963174	17.753645	0.966369	0.624911	1.844342	0.512433	-0.762643	-0.278427	False	d2_d0002_p0238_t0000
d2_d0002_p0239_t0000.png	0.973332	22.198663	1.000000	1.000000	22.652305	0.372534	59995	7	931	1612	51	2.293893	133.000000	6288	7212	12890.903889	3.910613	0.073451	-0.007753	0.361255	23772.309542	0.677790	7	931	-924	1612	51	2.293893	133.000000	7	221	6288	7212	4625	1.787424	3.910613	12890.903889	0.073451	271948	4.532844	6.000500	600x600	360000	dense	Learned	6488	7	48	59261	25.636422	0.707866	23.561935	0.981085	0.638745	0.531143	897	5143	0.000000	28	58826	27.756900	0.837973	0.990061	26.246802	0.417034	0.629422	1062	21.557929	0.255809	0.924197	18.021060	1.000000	0.642650	-1.363271	0.468857	-2.984117	-0.335332	False	d2_d0002_p0239_t0000
d2_d0002_p0241_t0000.png	0.980949	21.515679	1.000000	0.999976	22.239643	0.321903	47802	12	759	1279	64	2.322122	63.250000	4638	5385	9200.871483	4.115183	0.064997	-0.001155	0.291483	22565.389872	0.750256	12	759	-747	1279	64	2.322122	63.250000	14	173	4638	5385	3295	1.708611	4.115183	9200.871483	0.064997	271157	5.672503	7.531066	600x600	360000	dense	Learned	4838	14	36	47795	24.569152	0.644972	21.753830	0.982105	0.708517	0.575040	401	1988	0.000000	18	46948	26.112708	0.752463	0.991231	24.714609	0.398090	0.696333	1095	21.099142	0.235604	0.937561	16.854983	0.996757	0.685554	-0.238150	0.424936	-2.329509	-0.323069	False	d2_d0002_p0241_t0000
d2_d0002_p0244_t0000.png	0.980729	21.686782	1.000000	0.999968	22.954412	0.313529	42960	13	693	1152	35	2.322428	53.307692	4218	4898	8327.663848	4.104635	0.066409	-0.000163	0.299658	21916.484594	0.714868	13	693	-680	1152	35	2.322428	53.307692	13	174	4218	4898	3031	1.700217	4.104635	8327.663848	0.066409	262080	6.100559	8.379888	600x600	360000	dense	Learned	4418	13	34	42322	24.713415	0.618252	21.667956	0.980893	0.700342	0.542211	416	1930	0.000000	17	41902	26.000985	0.718311	0.989675	24.190512	0.376882	0.681720	1455	22.200461	0.249246	0.944357	17.815985	0.937961	0.710996	0.018826	0.457757	-1.759002	-0.304724	False	d2_d0002_p0244_t0000
d2_d0002_p0246_t0000.png	0.981665	23.903630	1.000000	0.997755	24.467512	0.383259	35594	20	534	922	63	2.269251	26.700000	3818	4332	7407.020624	4.066768	0.069087	-0.001409	0.629856	23298.026085	0.355452	20	534	-514	922	63	2.269251	26.700000	20	122	3818	4332	2833	1.709839	4.066768	7407.020624	0.069087	275681	7.745154	10.114064	600x600	360000	dense	Learned	4018	20	38	35443	26.898041	0.630394	24.219969	0.983074	0.370144	0.275287	1687	2384	0.000000	25	35570	27.576063	0.727376	0.987486	25.280589	0.238613	0.364846	1816	24.963351	0.358118	0.963552	21.435909	0.929584	0.353606	-0.316339	0.722468	-2.430528	-0.247135	False	d2_d0002_p0246_t0000
d2_d0002_p0247_t0000.png	0.983654	22.000737	1.000000	0.998230	23.628579	0.314788	34622	17	580	971	46	2.359744	34.117647	3130	3693	7378.751947	3.992861	0.066933	0.002189	0.320070	20131.904125	0.693157	17	580	-563	971	46	2.359744	34.117647	19	138	3130	3693	2113	1.998037	3.992861	7378.751947	0.066933	250416	7.232858	10.398013	600x600	360000	sparse	Learned	3250	19	29	34043	24.906916	0.576384	21.487765	0.981465	0.679930	0.558723	240	896	0.000000	14	34076	25.811257	0.651436	0.989324	23.511015	0.480367	0.660651	1769	22.928143	0.270552	0.957579	18.356561	0.869379	0.677223	0.512973	0.439507	-1.278337	-0.261596	False	d2_d0002_p0247_t0000
d2_d0002_p0248_t0000.png	0.981919	21.840029	1.000000	0.999502	22.644508	0.311353	43443	18	639	1084	52	2.292373	35.500000	4248	4869	8435.114642	4.039256	0.071011	0.000038	0.354371	22528.246403	0.664956	18	639	-621	1084	52	2.292373	35.500000	18	150	4248	4869	3112	1.732412	4.039256	8435.114642	0.071011	268364	6.177382	8.286721	600x600	360000	dense	Learned	4448	18	34	43228	24.661718	0.621965	21.799319	0.981881	0.645629	0.461398	475	1557	0.000000	17	42498	25.965872	0.716973	0.990610	24.490087	0.361537	0.633382	1450	21.888701	0.249019	0.947837	17.635365	0.823803	0.643109	0.040709	0.538104	-2.017210	-0.310612	False	d2_d0002_p0248_t0000
d2_d0002_p0249_t0000.png	0.981572	22.445367	1.000000	0.999820	23.276175	0.372575	42897	16	613	1068	68	2.280084	38.312500	4263	4860	8352.213055	4.106016	0.068065	-0.001601	0.402125	22187.354803	0.651928	16	613	-597	1068	68	2.280084	38.312500	16	131	4263	4860	3127	1.718562	4.106016	8352.213055	0.068065	267058	6.225564	8.392195	600x600	360000	dense	Learned	4463	16	38	42163	25.914517	0.642937	22.814614	0.983173	0.597875	0.352312	803	1663	0.000000	22	41238	26.919715	0.742849	0.988327	24.381477	0.318856	0.589904	1413	23.007917	0.314517	0.951560	18.617620	0.918894	0.585995	-0.369247	0.647508	-2.638342	-0.270362	False	d2_d0002_p0249_t0000
