stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M2_011_y512x0,0.337422,0.500535,0.508703,0.500535,2338,2333,2258
M2_011_y512x512,0.175377,0.243689,0.384848,0.420087,2037,6322,3256
M2_012_y0x0,0.255541,0.285664,0.707895,0.473314,807,2018,333
M2_012_y0x256,0.025910,0.100788,0.033701,0.180111,422,3765,12100
M2_012_y256x0,0.280422,0.462946,0.415631,0.572612,1037,1203,1458
M2_012_y256x256,0.069249,0.122723,0.137132,0.404059,438,3131,2756
M2_012_y256x512,0.057391,0.133032,0.091682,0.253368,884,5761,8758
M2_012_y512x512,0.032421,0.039990,0.146249,0.121069,154,3697,899
M2_013_y0x256,0.133156,0.260104,0.214347,0.286764,1757,4998,6440
M2_013_y0x512,0.184792,0.375190,0.266938,0.392178,2226,3707,6113
M2_013_y256x0,0.230562,0.353487,0.398683,0.387644,2058,3764,3104
M2_013_y256x256,0.134346,0.254718,0.221360,0.289223,2767,8096,9733
M2_013_y512x512,0.151482,0.367716,0.204837,0.388487,2524,4340,9798
M2_014_y0x0,0.175099,0.242264,0.387097,0.430715,1464,4579,2318
M2_014_y0x256,0.091736,0.131621,0.232380,0.249438,333,2197,1100
M2_014_y0x512,0.076005,0.162112,0.125180,0.226366,261,1349,1824
M2_014_y256x0,0.098968,0.283372,0.132006,0.391637,1227,3103,8068
M2_014_y256x256,0.187814,0.381253,0.270162,0.493814,2355,3822,6362
M2_014_y256x512,0.167138,0.471046,0.205756,0.600000,2481,2786,9577
M2_014_y512x0,0.084429,0.098986,0.364723,0.242545,244,2221,425
M2_014_y512x512,0.067533,0.098055,0.178278,0.233943,499,4590,2300
M2_015_y0x512,0.121921,0.301068,0.170053,0.338315,1381,3206,6740
M2_015_y256x256,0.087369,0.221026,0.126241,0.302150,801,2823,5544
M2_015_y256x512,0.079038,0.086042,0.492654,0.331139,503,5343,518
M2_015_y512x512,0.115419,0.346070,0.147613,0.353642,1277,2413,7374
M2_016_y0x256,0.049050,0.115180,0.078708,0.279032,173,1329,2025
M2_016_y0x512,0.056403,0.176437,0.076559,0.200392,307,1433,3703
M2_016_y256x256,0.017964,0.024453,0.063407,0.067609,153,6104,2260
M2_016_y512x0,0.136153,0.205320,0.287835,0.242896,795,3077,1967
M2_016_y512x256,0.087579,0.217288,0.127940,0.367294,1561,5623,10640
M2_016_y512x512,0.023498,0.027106,0.150045,0.172699,167,5994,946
M2_017_y256x256,0.056546,0.087186,0.138601,0.391633,777,8135,4829
M2_017_y256x512,0.118944,0.258035,0.180771,0.315136,1397,4017,6331
M2_017_y512x256,0.052070,0.083853,0.120783,0.158176,444,4851,3232
