stem,segmenter,iou_cpu_gpu,pixels_differ,segGPU_t100_n_components,segGPU_t100_total_length_px,segGPU_t100_mean_width_px,segGPU_t100_n_branches,segGPU_t100_n_junctions,segGPU_t100_cycle_rank,segGPU_degree5_n_components,segGPU_degree5_total_length_px,segGPU_degree5_mean_width_px,segGPU_degree5_n_branches,segGPU_degree5_n_junctions,segGPU_degree5_cycle_rank
7360,Learned,1.0,0,5,218.5807358037436,5.747733642048933,7,1,0,5,218.5807358037436,5.747733642048933,7,1,0
7361,Learned,1.0,0,7,326.1198410471444,5.375654990524994,7,0,0,7,326.1198410471444,5.375654990524994,7,0,0
7362,Learned,1.0,0,4,264.79393923934,7.2890693336911285,14,5,0,4,250.3086578651014,7.269857112032857,8,2,0
7363,Learned,1.0,0,4,163.88225099390854,5.447417683531162,6,1,0,4,159.46803743153544,5.450115664390618,4,0,0
7364,Learned,1.0,0,5,227.1370849898476,5.6780043765982775,9,2,0,5,223.30865786510142,5.6632684534280795,7,1,0
7365,Learned,1.0,0,5,280.93607486307104,5.664093915609014,13,4,0,5,273.2792206135786,5.650307851168534,9,2,0
7367,Learned,1.0,0,5,317.9482681718907,5.491075898637698,13,4,0,5,313.11984104714446,5.472729183463259,11,3,0
7368,Learned,1.0,0,4,241.350288425444,6.5554583688339765,10,3,0,4,233.1076477383247,6.609891560222821,6,1,0
7369,Learned,1.0,0,5,252.30865786510137,6.640754972579387,12,4,1,5,246.06601717798213,6.562602822032766,8,2,1
7370,Learned,1.0,0,4,294.83556979968256,7.5797947401984604,12,4,0,4,294.83556979968256,7.5797947401984604,12,4,0
7371,Learned,1.0,0,4,157.53910524340097,6.336243935619223,6,1,0,4,157.53910524340097,6.336243935619223,6,1,0
7372,Learned,1.0,0,5,313.7350647362943,6.108116420529418,14,5,1,5,313.7350647362943,6.108116420529418,14,5,1
7373,Learned,1.0,0,4,269.3919189857866,6.147677636251264,12,4,0,4,264.9777054234135,6.16630978496711,10,3,0
7374,Learned,1.0,0,4,176.58073580374352,5.953080638503738,8,2,0,4,173.16652224137044,5.9157665166336715,6,1,0
7375,Learned,1.0,0,4,192.82337649086278,4.880592375097988,6,1,0,4,192.82337649086278,4.880592375097988,6,1,0
7376,Learned,1.0,0,5,368.3330444827409,5.909077684354776,16,6,2,5,361.5046173579947,5.9223037210809215,13,5,2
7377,Learned,1.0,0,4,321.9777054234136,6.133444104000405,15,6,2,4,303.3208511739212,6.096987163918643,7,2,2
7378,Learned,1.0,0,4,213.40916292848976,6.9119343701716645,8,2,0,4,213.40916292848976,6.9119343701716645,8,2,0
7379,Learned,1.0,0,5,228.8233764908628,6.100292589477254,9,2,0,5,223.8233764908628,6.100441011427828,5,0,0
7381,Learned,1.0,0,4,203.82337649086284,6.818619861186813,6,1,0,4,203.82337649086284,6.818619861186813,6,1,0
7382,Learned,1.0,0,4,251.93607486307096,5.162102559052628,10,3,0,4,249.93607486307096,5.177746525543169,8,2,0
7383,Learned,1.0,0,4,283.4213562373095,6.293955853976876,14,5,0,4,273.5929291125633,6.229496580207325,10,3,0
7384,Learned,1.0,0,6,256.5929291125633,5.68801288357994,10,2,0,6,256.5929291125633,5.68801288357994,10,2,0
7385,Learned,1.0,0,4,334.04877323527893,6.205257918326711,11,4,1,4,334.04877323527893,6.205257918326711,11,4,1
7386,Learned,1.0,0,5,249.89444430272826,6.064500631695013,11,3,0,5,241.651803615609,6.028638689146992,9,2,0
7387,Learned,1.0,0,4,159.85281374238568,5.321792485485088,4,0,0,4,159.85281374238568,5.321792485485088,4,0,0
7389,Learned,1.0,0,4,318.56349186104046,6.3017404007702345,10,3,0,4,318.56349186104046,6.3017404007702345,10,3,0
7390,Learned,1.0,0,4,341.70562748477136,4.623860130940288,10,3,0,4,341.70562748477136,4.623860130940288,10,3,0
7391,Learned,1.0,0,4,278.0660171779822,6.988185188150975,18,8,3,4,269.82337649086287,6.94198389189147,12,5,3
7392,Learned,1.0,0,5,236.20815280171303,5.383366437201872,9,2,0,5,234.20815280171303,5.3464188282892176,7,1,0
7393,Learned,1.0,0,5,271.27922061357856,4.9549155714042685,7,1,0,5,271.27922061357856,4.9549155714042685,7,1,0
7394,Learned,1.0,0,4,152.0243866176395,5.159782849463931,6,1,0,4,152.0243866176395,5.159782849463931,6,1,0
7395,Learned,1.0,0,5,229.79393923933998,5.72173163959338,5,0,0,5,229.79393923933998,5.72173163959338,5,0,0
7396,Learned,1.0,0,4,230.4091629284897,5.317763149713336,11,4,1,4,230.4091629284897,5.317763149713336,11,4,1
7397,Learned,1.0,0,4,360.4629867976521,5.993793719783644,18,8,2,4,356.4629867976521,5.986044555448562,16,7,2
7398,Learned,0.9993351063829787,1,6,316.77669529663683,4.929687334161422,10,2,0,6,312.3624817342637,4.9274394709101035,8,1,0
