    junction_def     L       descriptor    arm    n       ccc      mdape   bias_pct    wilcoxon_p  wins_graph  wins_jpeg
206       degree  auto      n_junctions    PRE  716  0.735315  33.333333 -21.741778           NaN         NaN        NaN
207       degree  auto      n_junctions    SEG  716  0.735589  33.333333 -21.924482           NaN         NaN        NaN
210       degree  auto       cycle_rank  GRAPH  716  0.511041  50.000000 -36.895674  3.613082e-10       142.0       55.0
211       degree  auto       cycle_rank   JPEG  716  0.245243  50.000000  13.486005  3.613082e-10       142.0       55.0
212       degree  auto       cycle_rank    PRE  716  0.511041  50.000000 -36.895674           NaN         NaN        NaN
213       degree  auto       cycle_rank    SEG  716  0.511041  50.000000 -36.895674           NaN         NaN        NaN
216          t10     0   branch_lengths  GRAPH  716       NaN        NaN        NaN           NaN         NaN        NaN
217          t10     0   branch_lengths   JPEG  710       NaN        NaN        NaN           NaN         NaN        NaN
218          t10     0   branch_lengths    PRE  716       NaN        NaN        NaN           NaN         NaN        NaN
219          t10     0   branch_lengths    SEG  716       NaN        NaN        NaN           NaN         NaN        NaN
220       degree     0   branch_lengths  GRAPH  716       NaN        NaN        NaN           NaN         NaN        NaN
221       degree     0   branch_lengths   JPEG  710       NaN        NaN        NaN           NaN         NaN        NaN
222       degree     0   branch_lengths    PRE  716       NaN        NaN        NaN           NaN         NaN        NaN
223       degree     0   branch_lengths    SEG  716       NaN        NaN        NaN           NaN         NaN        NaN
224       degree     2   branch_lengths  GRAPH  716       NaN        NaN        NaN           NaN         NaN        NaN
225       degree     2   branch_lengths   JPEG  710       NaN        NaN        NaN           NaN         NaN        NaN
226       degree     2   branch_lengths    PRE  716       NaN        NaN        NaN           NaN         NaN        NaN
227       degree     2   branch_lengths    SEG  716       NaN        NaN        NaN           NaN         NaN        NaN
228       degree     5   branch_lengths  GRAPH  716       NaN        NaN        NaN           NaN         NaN        NaN
229       degree     5   branch_lengths   JPEG  710       NaN        NaN        NaN           NaN         NaN        NaN
230       degree     5   branch_lengths    PRE  716       NaN        NaN        NaN           NaN         NaN        NaN
231       degree     5   branch_lengths    SEG  716       NaN        NaN        NaN           NaN         NaN        NaN
232       degree    10   branch_lengths  GRAPH  716       NaN        NaN        NaN           NaN         NaN        NaN
233       degree    10   branch_lengths   JPEG  710       NaN        NaN        NaN           NaN         NaN        NaN
234       degree    10   branch_lengths    PRE  716       NaN        NaN        NaN           NaN         NaN        NaN
235       degree    10   branch_lengths    SEG  716       NaN        NaN        NaN           NaN         NaN        NaN
236       degree  auto   branch_lengths  GRAPH  716       NaN        NaN        NaN           NaN         NaN        NaN
237       degree  auto   branch_lengths   JPEG  708       NaN        NaN        NaN           NaN         NaN        NaN
238       degree  auto   branch_lengths    PRE  716       NaN        NaN        NaN           NaN         NaN        NaN
239       degree  auto   branch_lengths    SEG  716       NaN        NaN        NaN           NaN         NaN        NaN
n_images                                                                         726
n_common                                                                         716
payload_bytes_mean                                                       2193.798898
payload_bytes_median                                                          2216.0
jpeg_bytes_mean                                                          2142.990223
jpeg_bytes_median                                                             2144.5
raw_bytes_mean                                                               65536.0
raw_bytes_median                                                             65536.0
png_bytes_mean                                                          45371.683196
png_bytes_median                                                             45398.0
ref_s_median                                                                0.004922
graph_s_median                                                              0.001273
jpeg_s_median                                                               0.265982
ref_skeleton_skan_s_median                                                  0.003428
ref_descriptors_s_median                                                     0.00142
graph_decode_graph_s_median                                                 0.000707
graph_descriptors_s_median                                                  0.000554
jpeg_decode_s_median                                                        0.000165
jpeg_segment_s_median                                                       0.260127
jpeg_skeleton_skan_s_median                                                 0.003679
jpeg_descriptors_s_median                                                   0.001551
ratio_jpeg_over_graph                                                     208.996796
ratio_ref_over_graph                                                        3.867354
ratio_jpeg_nosegment_over_graph                                             4.342312
cpu                                         Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz
python                                                                        3.11.3
threads                            OMP/MKL/OPENBLAS_NUM_THREADS=1, torch.set_num_...
