stem,junction_def,L,w1_GRAPH,ks_GRAPH,w1_JPEG,ks_JPEG,w1_PRE,ks_PRE,w1_SEG,ks_SEG
7681,degree,2,11.480695269807157,0.36363636363636365,5.860314178844598,0.2090909090909091,11.806923121772607,0.40909090909090906,4.5497106690637334,0.24242424242424243
7682,degree,2,7.923337325686458,0.3076923076923077,3.3441158825868786,0.1384615384615384,8.219515665881929,0.3076923076923077,5.463832124817186,0.29370629370629375
7684,degree,2,15.207074464202455,0.5,18.522678526335465,0.6180223285486444,15.821067811865465,0.5,15.821067811865476,0.5
7685,degree,2,17.15246405119778,0.5714285714285714,7.411386533713535,0.380952380952381,17.528695100211493,0.5714285714285714,7.340932562602224,0.2777777777777778
7687,degree,2,2.7359610565483092,0.2333333333333334,5.0174422757527894,0.2850877192982456,2.8782239029325263,0.2333333333333334,2.1241642590333365,0.2243589743589744
7688,degree,2,9.944907458522263,0.3333333333333333,3.390028856716016,0.3,10.279132589868864,0.3333333333333333,2.958672036356104,0.125
7689,degree,2,17.95083362691021,0.6190476190476191,12.616897284256025,0.5,18.641505179476365,0.6190476190476191,10.810044316683282,0.4107142857142857
7690,degree,2,15.517620311105313,0.5,4.357907566103848,0.2802197802197802,16.169980405497633,0.5,16.598551834069063,0.5
7691,degree,2,4.346115987947314,0.2,7.576955262170046,0.26666666666666666,4.480939751330897,0.3,4.982411613907041,0.3
7692,degree,2,9.557130476750341,0.25,4.612538477983287,0.25,9.851608340833852,0.25,10.302894415271776,0.25
7693,degree,2,8.31449392628151,0.35714285714285715,3.6658596150752345,0.1928571428571429,9.019471496350388,0.35714285714285715,5.251748090915516,0.3142857142857143
7694,degree,2,8.739003973941566,0.6,,,9.034062043356595,0.65,6.607716446627536,0.45
7695,degree,2,3.1930455967506317,0.2333333333333333,4.341771681710376,0.2888888888888889,2.876142374915393,0.13333333333333341,2.148528137423857,0.10000000000000009
