junction_def,L,descriptor,arm,ref,n,ref_mean,arm_mean,ccc,r,bias,loa_lo,loa_hi,bias_pct,loa_lo_pct,loa_hi_pct,mdape,n_mdape,wilcoxon_p,wins_graph,wins_jpeg,ties,w1_mean,w1_median,ks_mean,ks_median,w1_wilcoxon_p,w1_wins_graph,w1_wins_jpeg,ks_wilcoxon_p,ks_wins_graph,ks_wins_jpeg
degree,0,mean_width_px,GRAPH,PRE,715,5.919465297573725,5.888241344510574,0.9988977345101261,0.9997341474563914,-0.031223953063150754,-0.06912825225817157,0.00668034613187006,-0.5274792822241706,-1.1678124422235554,0.11285387777521402,0.5328681969787116,715.0,,,,,,,,,,,,,,
degree,0,mean_width_px,SEG,PRE,715,5.919465297573725,5.991328903289496,0.9894001408479327,0.9935906326147497,0.07186360571577166,-0.10529372975161394,0.24902094118315726,1.2140219108173025,-1.7787709608631679,4.206814782497773,1.0792382359276662,715.0,,,,,,,,,,,,,,
degree,0,n_branches,GRAPH,REF,715,13.293706293706293,7.398601398601398,0.24882754933962475,0.6566130965002576,-5.895104895104895,-13.777925703475933,1.9877159132661424,-44.34508153603367,-103.64247109926661,14.952308027199283,42.857142857142854,715.0,2.8706968023638835e-09,179.0,450.0,86.0,,,,,,,,,,
degree,0,n_branches,JPEG,REF,715,13.293706293706293,18.251748251748253,-0.01727626264971775,-0.0509035138096398,4.958041958041958,-52.875088414218496,62.791172330302416,37.296159915833776,-397.7452731842844,472.3375930159519,27.27272727272727,715.0,2.8706968023638835e-09,179.0,450.0,86.0,,,,,,,,,,
degree,0,n_branches,PRE,REF,715,13.293706293706293,7.398601398601398,0.24882754933962475,0.6566130965002576,-5.895104895104895,-13.777925703475933,1.9877159132661424,-44.34508153603367,-103.64247109926661,14.952308027199283,42.857142857142854,715.0,,,,,,,,,,,,,,
degree,0,n_branches,SEG,REF,715,13.293706293706293,9.622377622377622,0.47212897563076006,0.6766412855389273,-3.6713286713286712,-11.160249060080176,3.8175917174228338,-27.617043661230934,-83.95137378177091,28.71728645930906,28.57142857142857,715.0,,,,,,,,,,,,,,
degree,0,n_branches,GRAPH,PRE,715,7.398601398601398,7.398601398601398,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,,,,,,,,,,,,,,
degree,0,n_branches,SEG,PRE,715,7.398601398601398,9.622377622377622,0.5984120402390216,0.8063296177965875,2.2237762237762237,-2.001527869402157,6.449080316954605,30.05671077504726,-27.05278689267566,87.16620844277018,27.27272727272727,715.0,,,,,,,,,,,,,,
degree,0,n_junctions,GRAPH,REF,715,4.4937062937062935,1.504895104895105,0.2617652924513294,0.686636313735017,-2.988811188811189,-7.060897512296394,1.0832751346740164,-66.51104886399004,-157.12859387774424,24.10649614976414,66.66666666666666,695.0,1.5124187146102064e-16,142.0,437.0,136.0,,,,,,,,,,
degree,0,n_junctions,JPEG,REF,715,4.4937062937062935,5.5062937062937065,0.021217475802183017,0.0417446312379952,1.0125874125874126,-18.857168160934066,20.88234298610889,22.533457827575475,-419.635083568872,464.70199922402287,40.0,695.0,1.5124187146102064e-16,142.0,437.0,136.0,,,,,,,,,,
degree,0,n_junctions,PRE,REF,715,4.4937062937062935,1.504895104895105,0.2617652924513294,0.686636313735017,-2.988811188811189,-7.060897512296394,1.0832751346740164,-66.51104886399004,-157.12859387774424,24.10649614976414,66.66666666666666,695.0,,,,,,,,,,,,,,
degree,0,n_junctions,SEG,REF,715,4.4937062937062935,2.718881118881119,0.5131173985760817,0.6950819025858377,-1.7748251748251749,-5.620515751285076,2.070865401634726,-39.49579831932773,-125.07528049078212,46.08368385212665,50.0,695.0,,,,,,,,,,,,,,
degree,0,n_junctions,GRAPH,PRE,715,1.504895104895105,1.504895104895105,1.0,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,,,,,,,,,,,,,,
degree,0,n_junctions,SEG,PRE,715,1.504895104895105,2.718881118881119,0.5777158337157101,0.8087240253001585,1.213986013986014,-1.115141494026553,3.5431135219985808,80.66914498141263,-74.1009450026938,235.43923496551906,60.0,558.0,,,,,,,,,,,,,,
degree,0,cycle_rank,GRAPH,REF,715,0.5468531468531469,0.3020979020979021,0.507463960895947,0.5784338744062404,-0.24475524475524477,-1.5407434221012613,1.0512329325907717,-44.75703324808184,-281.747198670691,192.2331321745273,50.0,276.0,2.1108219549193776e-12,141.0,46.0,528.0,,,,,,,,,,
degree,0,cycle_rank,JPEG,REF,715,0.5468531468531469,0.6601398601398601,0.18334985055782038,0.20984860696656454,0.11328671328671329,-2.67195606556985,2.8985294921432767,20.71611253196931,-488.6057766962769,530.0380017602155,50.0,276.0,2.1108219549193776e-12,141.0,46.0,528.0,,,,,,,,,,
degree,0,cycle_rank,PRE,REF,715,0.5468531468531469,0.3020979020979021,0.507463960895947,0.5784338744062404,-0.24475524475524477,-1.5407434221012613,1.0512329325907717,-44.75703324808184,-281.747198670691,192.2331321745273,50.0,276.0,,,,,,,,,,,,,,
degree,0,cycle_rank,SEG,REF,715,0.5468531468531469,0.34685314685314683,0.514396643774902,0.5549990654204318,-0.2,-1.549342323460712,1.149342323460712,-36.57289002557545,-283.3196320394908,210.17385198833992,50.0,276.0,,,,,,,,,,,,,,
degree,0,cycle_rank,GRAPH,PRE,715,0.3020979020979021,0.3020979020979021,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,,,,,,,,,,,,,,
degree,0,cycle_rank,SEG,PRE,715,0.3020979020979021,0.34685314685314683,0.9008591055365223,0.9082680714859508,0.044755244755244755,-0.45579764851169546,0.5453081380221849,14.814814814814815,-150.87746235456584,180.50709198419545,0.0,189.0,,,,,,,,,,,,,,
degree,2,n_components,GRAPH,REF,715,4.509090909090909,4.40979020979021,0.7662579875867552,0.7756794348008087,-0.0993006993006993,-0.9418805850338209,0.7432791864324223,-2.2022332506203477,-20.88848071647587,16.484014215235174,0.0,715.0,7.349172650712147e-41,251.0,23.0,441.0,,,,,,,,,,
degree,2,n_components,JPEG,REF,715,4.509090909090909,7.619580419580419,-0.009225289928438303,-0.08989857945351627,3.1104895104895105,-19.516442582330463,25.737421603309485,68.98263027295286,-432.824331462974,570.7895920088797,0.0,715.0,7.349172650712147e-41,251.0,23.0,441.0,,,,,,,,,,
degree,2,n_components,PRE,REF,715,4.509090909090909,4.40979020979021,0.7662579875867552,0.7756794348008087,-0.0993006993006993,-0.9418805850338209,0.7432791864324223,-2.2022332506203477,-20.88848071647587,16.484014215235174,0.0,715.0,,,,,,,,,,,,,,
degree,2,n_components,SEG,REF,715,4.509090909090909,4.4475524475524475,0.8113150767378877,0.8158577761232999,-0.06153846153846154,-0.8353577294730663,0.7122808063961432,-1.3647642679900747,-18.5260786778301,15.79655014184995,0.0,715.0,,,,,,,,,,,,,,
degree,2,n_components,GRAPH,PRE,715,4.40979020979021,4.40979020979021,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,,,,,,,,,,,,,,
degree,2,n_components,SEG,PRE,715,4.40979020979021,4.4475524475524475,0.9562210152733213,0.9580469225115724,0.03776223776223776,-0.3361158783966152,0.4116403539210907,0.8563273073263558,-7.622037838679984,9.334692453332693,0.0,715.0,,,,,,,,,,,,,,
degree,2,total_length_px,GRAPH,REF,715,259.1076250408224,230.03880359087276,0.7314421019363734,0.8563214369029252,-29.068821449949667,-81.76617946389419,23.628536563994864,-11.21882130846974,-31.556840309509194,9.119197692569713,9.585402896434372,715.0,1.1442424184603124e-07,221.0,494.0,0.0,,,,,,,,,,
degree,2,total_length_px,JPEG,REF,715,259.1076250408224,319.2422763237786,-0.02776980776767573,-0.08718337030241101,60.13465128295613,-546.0331587462387,666.302461312151,23.208368056896013,-210.73604401268048,257.1527801264725,4.9227840403931,715.0,1.1442424184603124e-07,221.0,494.0,0.0,,,,,,,,,,
degree,2,total_length_px,PRE,REF,715,259.1076250408224,234.66599418988216,0.7690427221649937,0.8592856376058411,-24.44163085094025,-77.06140652711642,28.17814482523592,-9.43300331168929,-29.741080184334745,10.875073560956166,7.965817363700939,715.0,,,,,,,,,,,,,,
degree,2,total_length_px,SEG,REF,715,259.1076250408224,244.34598043182865,0.8445778583340431,0.879067349838866,-14.761644608993821,-65.10323276178354,35.5799435437959,-5.697109302232277,-25.125942454038753,13.731723849574196,4.519715613733111,715.0,,,,,,,,,,,,,,
degree,2,total_length_px,GRAPH,PRE,715,234.66599418988216,230.03880359087276,0.9950841499808613,0.9997495139373627,-4.627190599009415,-7.793401731754543,-1.4609794662642868,-1.9718198262954456,-3.32106139138696,-0.6225782612039312,1.9256012207700224,715.0,,,,,,,,,,,,,,
degree,2,total_length_px,SEG,PRE,715,234.66599418988216,244.34598043182865,0.9659906287366965,0.9848435396289547,9.679986241946434,-8.89098385702271,28.25095634091558,4.125005958091134,-3.7887823873741544,12.038794303556422,3.6068558390688135,715.0,,,,,,,,,,,,,,
degree,2,mean_width_px,GRAPH,REF,715,5.711092607083825,5.888241344510574,0.8704753401744414,0.9058257352968879,0.1771487374267495,-0.4726409399328779,0.826938414786377,3.1018361916775934,-8.275840937102506,14.479513320457693,2.8390769334995998,715.0,1.1529993830630867e-42,519.0,190.0,0.0,,,,,,,,,,
degree,2,mean_width_px,JPEG,REF,709,5.703025281454633,5.979292312444517,0.794832890070855,0.8657147664213585,0.27626703098988376,-0.3926208694662488,0.9451549314460164,4.844218942677002,-6.884431509412941,16.572869394766947,4.902008771613756,709.0,1.1529993830630867e-42,519.0,190.0,0.0,,,,,,,,,,
degree,2,mean_width_px,PRE,REF,715,5.711092607083825,5.919465297573725,0.8616869156621413,0.9074268525329147,0.20837269048990026,-0.4435159395958378,0.8602613205756383,3.6485608766252997,-7.765868461767146,15.062990215017743,3.1198351921505374,715.0,,,,,,,,,,,,,,
degree,2,mean_width_px,SEG,REF,715,5.711092607083825,5.991172196777367,0.8324325403373779,0.9052919359516235,0.28007958969354185,-0.3905348479255125,0.9506940273125962,4.90413321867941,-6.838180971555386,16.64644740891421,4.043094982233933,715.0,,,,,,,,,,,,,,
degree,2,mean_width_px,GRAPH,PRE,715,5.919465297573725,5.888241344510574,0.9988977345101261,0.9997341474563914,-0.031223953063150754,-0.06912825225817157,0.00668034613187006,-0.5274792822241706,-1.1678124422235554,0.11285387777521402,0.5328681969787116,715.0,,,,,,,,,,,,,,
degree,2,mean_width_px,SEG,PRE,715,5.919465297573725,5.991172196777367,0.9895974325691675,0.993768438640189,0.07170689920364161,-0.10294732514095394,0.24636112354823714,1.211374602247147,-1.7391321676157145,4.161881372110008,1.077348453820371,715.0,,,,,,,,,,,,,,
degree,2,n_branches,GRAPH,REF,715,11.8,7.398601398601398,0.32552511557196484,0.6696480489050576,-4.4013986013986015,-10.915955357608341,2.1131581548111384,-37.299988147445774,-92.50809625091814,17.908119956026596,33.33333333333333,715.0,0.028678041886755722,219.0,388.0,108.0,,,,,,,,,,
degree,2,n_branches,JPEG,REF,715,11.8,17.597202797202797,-0.017662624571018526,-0.0590248878082147,5.7972027972027975,-49.618593192695435,61.212998787101036,49.12883726443049,-420.49655248046975,518.7542270093307,25.0,715.0,0.028678041886755722,219.0,388.0,108.0,,,,,,,,,,
degree,2,n_branches,PRE,REF,715,11.8,7.398601398601398,0.32552511557196484,0.6696480489050576,-4.4013986013986015,-10.915955357608341,2.1131581548111384,-37.299988147445774,-92.50809625091814,17.908119956026596,33.33333333333333,715.0,,,,,,,,,,,,,,
degree,2,n_branches,SEG,REF,715,11.8,9.384615384615385,0.5742329449668452,0.7015753900023832,-2.4153846153846152,-8.63668307873901,3.8059138479697787,-20.469361147327245,-73.19222948083906,32.253507186184564,22.22222222222222,715.0,,,,,,,,,,,,,,
degree,2,n_branches,GRAPH,PRE,715,7.398601398601398,7.398601398601398,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,,,,,,,,,,,,,,
degree,2,n_branches,SEG,PRE,715,7.398601398601398,9.384615384615385,0.6469788682123543,0.832255602967665,1.986013986013986,-1.8492486718053167,5.821276643833289,26.84310018903592,-24.99457089491118,78.68077127298302,25.0,715.0,,,,,,,,,,,,,,
