    junction_def   L       descriptor    arm    n       ccc      mdape   bias_pct    wilcoxon_p  wins_graph  wins_jpeg
139       degree   5       cycle_rank   JPEG  715  0.183350  50.000000  20.716113  2.110822e-12       141.0       46.0
140       degree   5       cycle_rank    PRE  715  0.507464  50.000000 -44.757033           NaN         NaN        NaN
141       degree   5       cycle_rank    SEG  715  0.514397  50.000000 -36.572890           NaN         NaN        NaN
144       degree  10     n_components  GRAPH  715  0.766258   0.000000  -2.202233  7.349173e-41       251.0       23.0
145       degree  10     n_components   JPEG  715 -0.009225   0.000000  68.982630  7.349173e-41       251.0       23.0
146       degree  10     n_components    PRE  715  0.766258   0.000000  -2.202233           NaN         NaN        NaN
147       degree  10     n_components    SEG  715  0.811315   0.000000  -1.364764           NaN         NaN        NaN
150       degree  10  total_length_px  GRAPH  715  0.798923   6.391668  -7.899591  1.710319e-01       292.0      423.0
151       degree  10  total_length_px   JPEG  715 -0.023506   4.205676  21.248211  1.710319e-01       292.0      423.0
152       degree  10  total_length_px    PRE  715  0.828923   4.692854  -5.937466           NaN         NaN        NaN
153       degree  10  total_length_px    SEG  715  0.868740   3.188719  -3.742973           NaN         NaN        NaN
156       degree  10    mean_width_px  GRAPH  715  0.883729   2.651804   2.461200  1.737964e-40       504.0      205.0
157       degree  10    mean_width_px   JPEG  709  0.810719   4.678758   4.490059  1.737964e-40       504.0      205.0
158       degree  10    mean_width_px    PRE  715  0.876790   2.768116   3.022661           NaN         NaN        NaN
159       degree  10    mean_width_px    SEG  715  0.860676   3.398646   3.996366           NaN         NaN        NaN
162       degree  10       n_branches  GRAPH  715  0.624925  12.500000 -17.365160  4.587964e-11       266.0      190.0
163       degree  10       n_branches   JPEG  715 -0.017699  18.181818  49.107143  4.587964e-11       266.0      190.0
164       degree  10       n_branches    PRE  715  0.635816  12.500000 -16.654519           NaN         NaN        NaN
165       degree  10       n_branches    SEG  715  0.727432   9.090909 -10.951166           NaN         NaN        NaN
168       degree  10      n_junctions  GRAPH  715  0.578015  50.000000 -42.779923  3.510769e-01       180.0      185.0
169       degree  10      n_junctions   JPEG  715  0.117138  33.333333  20.308880  3.510769e-01       180.0      185.0
170       degree  10      n_junctions    PRE  715  0.587962  50.000000 -41.312741           NaN         NaN        NaN
171       degree  10      n_junctions    SEG  715  0.700193  33.333333 -25.791506           NaN         NaN        NaN
174       degree  10       cycle_rank  GRAPH  715  0.507464  50.000000 -44.757033  2.110822e-12       141.0       46.0
175       degree  10       cycle_rank   JPEG  715  0.183350  50.000000  20.716113  2.110822e-12       141.0       46.0
176       degree  10       cycle_rank    PRE  715  0.507464  50.000000 -44.757033           NaN         NaN        NaN
177       degree  10       cycle_rank    SEG  715  0.514397  50.000000 -36.572890           NaN         NaN        NaN
180          t10   0   branch_lengths  GRAPH  715       NaN        NaN        NaN           NaN         NaN        NaN
181          t10   0   branch_lengths   JPEG  709       NaN        NaN        NaN           NaN         NaN        NaN
182          t10   0   branch_lengths    PRE  715       NaN        NaN        NaN           NaN         NaN        NaN
183          t10   0   branch_lengths    SEG  715       NaN        NaN        NaN           NaN         NaN        NaN
184       degree   0   branch_lengths  GRAPH  715       NaN        NaN        NaN           NaN         NaN        NaN
185       degree   0   branch_lengths   JPEG  709       NaN        NaN        NaN           NaN         NaN        NaN
186       degree   0   branch_lengths    PRE  715       NaN        NaN        NaN           NaN         NaN        NaN
187       degree   0   branch_lengths    SEG  715       NaN        NaN        NaN           NaN         NaN        NaN
188       degree   2   branch_lengths  GRAPH  715       NaN        NaN        NaN           NaN         NaN        NaN
189       degree   2   branch_lengths   JPEG  709       NaN        NaN        NaN           NaN         NaN        NaN
190       degree   2   branch_lengths    PRE  715       NaN        NaN        NaN           NaN         NaN        NaN
191       degree   2   branch_lengths    SEG  715       NaN        NaN        NaN           NaN         NaN        NaN
192       degree   5   branch_lengths  GRAPH  715       NaN        NaN        NaN           NaN         NaN        NaN
193       degree   5   branch_lengths   JPEG  709       NaN        NaN        NaN           NaN         NaN        NaN
194       degree   5   branch_lengths    PRE  715       NaN        NaN        NaN           NaN         NaN        NaN
195       degree   5   branch_lengths    SEG  715       NaN        NaN        NaN           NaN         NaN        NaN
196       degree  10   branch_lengths  GRAPH  715       NaN        NaN        NaN           NaN         NaN        NaN
197       degree  10   branch_lengths   JPEG  709       NaN        NaN        NaN           NaN         NaN        NaN
198       degree  10   branch_lengths    PRE  715       NaN        NaN        NaN           NaN         NaN        NaN
199       degree  10   branch_lengths    SEG  715       NaN        NaN        NaN           NaN         NaN        NaN
n_images                                                                         726
n_common                                                                         715
payload_bytes_mean                                                       2197.982094
payload_bytes_median                                                          2217.0
