stem,segmenter,n_misaligned,payload_bytes,jpeg_bytes,jpeg_quality,raw_bytes,png_bytes,arm,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,time_s
7258,Learned,0,2451,2405.0,26.0,65536,46114,PRE,5,284.492424049175,4.914579812222055,7,1,0,3,11,0,
7258,Learned,0,2451,2405.0,26.0,65536,46114,GRAPH_TAGGED,5,279.06605326502637,4.882626094370388,7,1,0,3,11,0,
7258,Learned,0,2451,2405.0,26.0,65536,46114,SEG,5,286.49242404917493,4.956967685232774,7,1,0,1,11,0,
7259,Learned,0,1883,1869.0,23.0,65536,45422,REF,4,182.40916292848974,6.350416795707247,6,1,0,1,9,0,0.003874853951856494
7259,Learned,0,1883,1869.0,23.0,65536,45422,GRAPH,4,173.8120931344103,6.331233604780231,4,0,0,0,8,0,0.0039488140027970076
7259,Learned,0,1883,1869.0,23.0,65536,45422,JPEG,79,1546.6143571373727,5.635930965753037,153,37,3,40,192,0,0.27822288405150175
7259,Learned,0,1883,1869.0,23.0,65536,45422,PRE,4,176.40916292848974,6.371908986075914,4,0,0,0,8,0,
7259,Learned,0,1883,1869.0,23.0,65536,45422,GRAPH_TAGGED,4,173.8120931344103,6.331233604780231,4,0,0,0,8,0,
7259,Learned,0,1883,1869.0,23.0,65536,45422,SEG,4,176.40916292848974,6.436894980726085,4,0,0,0,8,0,
7260,Learned,166,2246,2239.0,29.0,65536,44960,REF,6,265.4213562373095,5.234105985092522,14,4,0,4,16,0,0.004440795048139989
7260,Learned,166,2246,2239.0,29.0,65536,44960,GRAPH,5,241.54484448860325,5.35568573770853,7,1,0,1,11,0,0.004967772983945906
7260,Learned,166,2246,2239.0,29.0,65536,44960,JPEG,6,261.24978336205567,5.389664235798454,10,2,0,2,14,0,0.28036698000505567
7260,Learned,166,2246,2239.0,29.0,65536,44960,PRE,5,244.52186130069782,5.375455714406611,7,1,0,1,11,0,
7260,Learned,166,2246,2239.0,29.0,65536,44960,GRAPH_TAGGED,5,10244.340869201324,5.468344850166385,7,1,0,1,11,0,
7260,Learned,166,2246,2239.0,29.0,65536,44960,SEG,6,251.17871555019025,5.40875674921518,8,1,0,1,13,0,
