stem,segmenter,ref_s,graph_s,jpeg_s,ref_skeleton_skan_s,ref_descriptors_s,graph_decode_graph_s,graph_descriptors_s,jpeg_decode_s,jpeg_segment_s,jpeg_skeleton_skan_s,jpeg_descriptors_s
7546,Learned,0.00493362289853394,0.006395266042090952,0.26785227900836617,0.0034588980488479137,0.0014624790055677295,0.00531064800452441,0.0010828509693965316,0.00018909096252173185,0.26197208906523883,0.004129433073103428,0.0015092029934749007
7547,Learned,0.003727086936123669,0.003648533020168543,0.27658803097438067,0.0030652140267193317,0.0006502890028059483,0.0030753129394724965,0.0005710310069844127,0.00013372092507779598,0.2720899539999664,0.003500515944324434,0.0008435680065304041
7549,Learned,0.0043032990070059896,0.004904853994958103,0.2707791770808399,0.0031950949924066663,0.0010964639950543642,0.004123726044781506,0.0007791320094838738,0.00015900400467216969,0.26534023007843643,0.003959889989346266,0.0012821010313928127
7550,Learned,0.004648254020139575,0.006210463005118072,0.2689767120173201,0.0033535530092194676,0.0012809489853680134,0.005216887919232249,0.0009915810078382492,0.00017981103155761957,0.26397084502968937,0.003518550074659288,0.0012872419320046902
7551,Learned,0.004212146042846143,0.00475927593652159,0.2877427990315482,0.003285506973043084,0.0009153030114248395,0.0039705270901322365,0.0007869529072195292,0.0001580669777467847,0.2830816700588912,0.0035888159181922674,0.0008941850392147899
7552,Learned,0.004534970037639141,0.004957688972353935,0.27118888997938484,0.003466182970441878,0.0010560399387031794,0.00417276902589947,0.0007829579990357161,0.00017167499754577875,0.2663900569314137,0.00361534405965358,0.000992915011011064
7553,Learned,0.004661887069232762,0.005663405056111515,0.28022997395601124,0.003434465965256095,0.0012126310029998422,0.004707951098680496,0.0009525199420750141,0.0001761269522830844,0.2750449910527095,0.0037442310713231564,0.0012431129580363631
7554,Learned,0.004563844064250588,0.00488347711507231,0.27445040305610746,0.003521095961332321,0.0010307870106771588,0.0040852619567885995,0.0007963820826262236,0.00017916306387633085,0.2694277629489079,0.0037872650427743793,0.0010366819333285093
7555,Learned,0.004750450956635177,0.004687650012783706,0.2705398709513247,0.0036931990180164576,0.0010450140107423067,0.003916970919817686,0.0007685800082981586,0.00017484999261796474,0.26584946806542575,0.003573853988200426,0.0009222329827025533
7556,Learned,0.0042170879896730185,0.004928351030685008,0.2732579279690981,0.003247730084694922,0.0009575989097356796,0.00414386996999383,0.0007828930392861366,0.00016449193935841322,0.268654398038052,0.003440139931626618,0.0009800459956750274
7557,Learned,0.004942545900121331,0.0054392359452322125,0.2877380970166996,0.003550971974618733,0.001379269058816135,0.004497959977015853,0.0009393910877406597,0.00018562201876193285,0.28253990004304796,0.0037530489498749375,0.0012370969634503126
7558,Learned,0.004494432942010462,0.0053289770148694515,0.2750813269522041,0.0034341129940003157,0.0010475440649315715,0.004442750010639429,0.0008844999829307199,0.0001723299501463771,0.2702314730267972,0.003597800969146192,0.0010602249531075358
7559,Learned,0.004191183019429445,0.004890320007689297,0.28305923694279045,0.003238903940655291,0.0009404349839314818,0.004092677962034941,0.0007958800997585058,0.00016176095232367516,0.27832770999521017,0.003525931970216334,0.0010108179412782192
7560,Learned,0.0041493099415674806,0.004208564991131425,0.29230276495218277,0.0032899260986596346,0.0008467189036309719,0.003543678903952241,0.0006629460258409381,0.0001615999499335885,0.2877137759933248,0.0035156310768797994,0.0008908659219741821
7561,Learned,0.00441780302207917,0.005074472981505096,0.2695123029407114,0.003393955994397402,0.0010117599740624428,0.004281442961655557,0.000790958059951663,0.00016575295012444258,0.26470393396448344,0.0036108570639044046,0.0010102649684995413
