stem,ref_width,dt_none,profile_none,dt_dilate1,profile_dilate1,dt_dilate2,profile_dilate2,dt_erode1,profile_erode1
7801,5.088073565435674,5.267739198239692,6.645205957560182,7.003950973753457,7.626517652027766,8.699065164554591,6.921854031542639,3.5863931299895944,5.929103573979653
7803,5.268089515255103,5.539144107037631,8.494636135901303,7.203912759224373,9.132185249156883,9.065199459845232,9.210405971550477,3.9148897567325163,8.001304543457342
7804,5.409519981788574,5.497353108971939,5.737970267050731,7.275804903648444,5.8866786188703255,8.918201033273025,5.904075374596546,3.8884735454931962,5.6104626808262354
7807,7.075740373907809,7.199465791932644,8.736800551068827,8.709441422341195,7.747137222999492,11.36832044891367,7.715416785007605,5.566767124767021,8.4027477297129
7813,6.5681759439870016,6.587985751145683,7.425609866887144,8.201000721121671,7.2209099161102355,9.67652650860677,6.67622456697804,5.0626441990071545,6.905385607154207
7817,5.696297693823256,5.645565778548086,5.351429619671928,7.400306287825137,5.284695620037714,9.272669627547725,6.1686685075513426,4.042197970602856,5.631254728679431
7819,5.313198074025721,5.45800149641789,5.737476465281246,7.404130597940443,5.506130096932629,9.196653873501946,5.849754357937043,3.7862669758460403,5.617057014686806
7825,4.975177822565123,5.10138869511045,6.658116957958391,7.037682367875956,6.373379180030652,8.878868437559632,6.824840508822571,3.4765156422819916,5.780153184703845
7828,5.805824327178123,5.949657408145585,7.919740399511314,7.562196150790713,6.9223404062428555,9.84279943102646,6.927681698342235,4.273188551487832,7.295778997364751
7830,5.144820796205593,5.427043969568577,5.245415888043767,7.246318307993496,5.170040511467554,9.229454751813975,7.456635350519702,3.7103101940579224,5.61160510819842
7842,5.635187750832024,5.546174162067203,5.442479136688879,7.350728843511197,5.967886509704027,9.090820859549476,6.1794886559603075,3.8756006397010134,5.9193296513179705
7848,6.064158680518132,10.4195267747435,10.24400183391845,13.135339947584932,10.312649994108291,15.51633803752118,10.380216995371667,9.993206585493583,12.400788400917481
7862,5.9419883989086415,5.922874028775958,5.854555107805671,7.816240091138563,6.102663660639134,9.718898892519308,8.348742535628388,4.313359499590679,5.780722035335521
7864,5.569941194254857,5.660039841637899,5.789419568372185,7.375164686415618,6.689798396512137,9.981679339413944,8.008654048475691,4.145388349564028,5.492182073014802
7867,6.198407703614278,6.403448901500987,8.086113358881104,8.555917119948745,7.6586205117625745,10.318767803245668,7.481121195161223,4.7473700106215855,7.981778993197566
7873,5.370536294046389,5.523069899741072,6.178384647050693,7.3637015997787465,7.3507946139411295,9.047920158325153,6.415616912783692,3.8880950161829646,6.103574597494664
7881,5.396710773018869,5.1460907207333975,8.29500403697514,6.898112671218323,8.595343493154383,8.642914088273319,7.087744585041764,3.3836617994375175,6.116135941498779
7885,5.59099831187878,6.233866845708889,7.1668206996563,8.135030220965723,7.163192467413244,10.04297270065656,7.373098530952953,4.602029391784676,6.315949284479144
7889,5.985490522733109,6.213623199324501,6.690526107625057,8.094748493558516,6.73536034330334,10.294373492453454,6.915275249479143,4.574116898262392,6.710515155683777
7890,6.732873737600366,7.13389090395711,7.806606887830426,8.965384637046803,7.276871450335517,11.385520122887716,8.157940560639977,5.476068895121022,8.583683930363279
7899,6.507242321431723,6.248017279325449,6.584573056119672,8.035235369934426,6.940413281440996,9.85485884815947,6.462319600612975,4.758412443413266,6.471297548873803
7902,5.873623510341042,7.158665510140818,7.637017792267166,8.860769614925104,6.905113167339885,10.303597081031963,6.732790897141294,6.005475204067916,8.955372094981279
7903,5.628464053987053,5.953713046885374,6.763448029071976,7.667951530989974,6.737221409783648,9.7446539910993,7.152652645836347,4.233374154182434,6.9155908774528205
7904,5.811921915364848,5.60186551310867,6.793063273686485,7.383485689840695,6.024885771270293,8.974474988593398,6.391265734321186,4.042420158895778,6.658279697679616
7908,4.663105787729405,4.53926228593605,4.3750833410120205,6.293835881704744,4.4799340238701735,8.07475330557464,4.647873009655055,2.7838224445484787,4.434851799882747
7910,7.571483556075567,7.707258567018505,8.273867861198449,9.309034232350069,8.906262189825467,11.618794374716176,8.521812074022055,6.042772033098549,8.22966246339721
7934,5.539012513587521,5.936875376879661,6.466373349252101,7.407893062871366,6.594187884648578,9.256539107804128,6.79777145744958,4.2642983494377305,6.233724870506831
7935,5.903833894153018,6.025292198149647,5.308707830387816,7.860348695387032,7.212469511411894,9.992267292636091,7.036195350295181,4.403536848496894,5.85918195742446
7937,5.5204673741106935,5.695636738735867,8.7558359679161,7.477314682519924,9.939282844120129,9.532980042052403,11.447540035898786,3.9924172784120184,9.426051947342238
7939,5.813981459110188,5.713011627721211,6.167711479402503,7.361253702764232,6.450932104493907,9.071357430544413,8.044216075652793,4.062339992980223,6.016260689637487
