stem,junction_def,L,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles
7300,degree,2,5,247.73506473629428,5.702033076705433,7,1,0,1,11,0
7300,degree,5,5,247.73506473629428,5.702033076705433,7,1,0,1,11,0
7300,degree,10,5,247.73506473629428,5.702033076705433,7,1,0,1,11,0
7306,t10,0,5,261.1370849898476,6.6731542358261535,20,8,1,8,16,0
7306,degree,0,5,261.1370849898476,6.6731542358261535,20,8,1,8,16,0
7306,degree,2,5,259.7228714274745,6.6698205958803,18,7,1,8,16,0
7306,degree,5,5,228.33809511662423,6.824584061240177,8,2,1,8,16,0
7306,degree,10,5,215.26702730475878,6.901802060931904,6,1,1,8,16,0
7308,t10,0,5,313.048773235279,6.657880144154122,16,6,1,6,14,0
7308,degree,0,5,313.048773235279,6.657880144154122,16,6,1,6,14,0
7308,degree,2,5,313.048773235279,6.657880144154122,16,6,1,6,14,0
7308,degree,5,5,307.8061325481597,6.684857342866573,14,5,1,6,14,0
7308,degree,10,5,298.73506473629425,6.695623878749157,12,4,1,6,14,0
7315,t10,0,4,260.99494936611666,5.9420553352416565,13,5,1,5,11,0
7315,degree,0,4,260.99494936611666,5.9420553352416565,13,5,1,5,11,0
7315,degree,2,4,259.58073580374355,5.948122457989825,11,4,1,5,11,0
7315,degree,5,4,252.7523086789974,5.98448014793485,9,3,1,5,11,0
7315,degree,10,4,252.7523086789974,5.98448014793485,9,3,1,5,11,0
7327,t10,0,4,168.78174593052023,5.1856110817022465,8,2,0,2,10,0
7327,degree,0,4,168.78174593052023,5.1856110817022465,8,2,0,2,10,0
7327,degree,2,4,165.95331880577405,5.191698751033375,6,1,0,2,10,0
7327,degree,5,4,163.53910524340094,5.165004062973208,4,0,0,2,10,0
7327,degree,10,4,163.53910524340094,5.165004062973208,4,0,0,2,10,0
7329,t10,0,4,281.20815280171314,5.432356086827672,14,5,0,5,13,0
7329,degree,0,4,281.20815280171314,5.432356086827672,14,5,0,5,13,0
7329,degree,2,4,281.20815280171314,5.432356086827672,14,5,0,5,13,0
7329,degree,5,4,270.9655121145938,5.495732366675097,10,3,0,5,13,0
7329,degree,10,4,270.9655121145938,5.495732366675097,10,3,0,5,13,0
7339,t10,0,5,228.79393923933998,5.260815526104675,7,1,0,1,11,0
7339,degree,0,5,228.79393923933998,5.260815526104675,7,1,0,1,11,0
7339,degree,2,5,228.79393923933998,5.260815526104675,7,1,0,1,11,0
7339,degree,5,5,228.79393923933998,5.260815526104675,7,1,0,1,11,0
7339,degree,10,5,228.79393923933998,5.260815526104675,7,1,0,1,11,0
7355,t10,0,4,258.86500705120545,5.334297145702351,12,4,0,4,12,0
7355,degree,0,4,258.86500705120545,5.334297145702351,12,4,0,4,12,0
7355,degree,2,4,257.45079348883235,5.347119769541747,10,3,0,4,12,0
7355,degree,5,4,254.6223663640862,5.374145274311962,10,3,0,4,12,0
7355,degree,10,4,247.79393923934,5.4007525921810995,8,2,0,4,12,0
7356,t10,0,5,400.5756851698602,5.135272114261897,31,13,1,14,22,0
7356,degree,0,5,400.5756851698602,5.135272114261897,31,13,1,14,22,0
7356,degree,2,5,395.5756851698602,5.169665767336451,21,8,1,14,22,0
7356,degree,5,5,384.3330444827409,5.213390323744062,15,5,1,14,22,0
7356,degree,10,5,369.43354954612926,5.1942979131332185,12,4,1,14,22,0
7359,t10,0,4,162.50966799187813,5.893625282385353,6,1,0,1,9,0
7359,degree,0,4,162.50966799187813,5.893625282385353,6,1,0,1,9,0
7359,degree,2,4,162.50966799187813,5.893625282385353,6,1,0,1,9,0
7359,degree,5,4,162.50966799187813,5.893625282385353,6,1,0,1,9,0
7359,degree,10,4,150.85281374238573,5.7097878736794705,4,0,0,1,9,0
7393,t10,0,5,278.27922061357856,5.185422474352213,11,3,0,3,13,0
7393,degree,0,5,278.27922061357856,5.185422474352213,11,3,0,3,13,0
7393,degree,2,5,275.45079348883235,5.189088230599849,7,1,0,3,13,0
7393,degree,5,5,271.03657992645924,5.203714279202955,7,1,0,3,13,0
7393,degree,10,5,271.03657992645924,5.203714279202955,7,1,0,3,13,0
