setting,param,value,junction_def,L,n,payload_bytes,fg_psnr,n_points,n_components_bias_pct,n_components_ccc,n_components_mdape,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape
spur_min_length=2,graph.spur_min_length,2,t10,0,150,2212.22,28.078158008217347,280.14,-2.0740740740740744,0.744,0.0,-11.338194314539033,0.6194644564463875,8.336188066040728,3.236173614862479,0.7425535021790992,2.892348212297935,-34.62717058222676,0.357256984232017,35.714285714285715,-50.228310502283115,0.3820928449903715,50.0,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=2,graph.spur_min_length,2,degree,0,150,2212.22,28.078158008217347,280.14,-2.0740740740740744,0.744,0.0,-11.338194314539036,0.6194644564463873,8.33618806604072,3.236173614862478,0.7425535021790992,2.892348212297935,-36.61899897854954,0.33373109037671056,36.36363636363637,-56.468797564687975,0.3362754826691736,60.0,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=2,graph.spur_min_length,2,degree,2,150,2212.22,28.078158008217347,280.14,-2.0740740740740744,0.744,0.0,-10.951004427957434,0.6249986032376008,8.027596272934812,3.1242163049876166,0.7438958351279894,2.929956623263358,-28.265895953757227,0.4212099459866555,27.27272727272727,-47.90528233151184,0.4202371700052649,50.0,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=2,graph.spur_min_length,2,degree,5,150,2212.22,28.078158008217347,280.14,-2.0740740740740744,0.744,0.0,-8.973639143775607,0.6652144408655611,6.385419873200616,2.5245764145978793,0.7644765766237848,2.6041161787206826,-17.31800766283525,0.6331807946538824,13.392857142857142,-38.84057971014493,0.5935345852151177,42.857142857142854,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=2,graph.spur_min_length,2,degree,10,150,2212.22,28.078158008217347,280.14,-2.0740740740740744,0.744,0.0,-8.780969238491863,0.670330888452371,5.4046985578014395,2.3200003864632954,0.7724769645253676,2.443751352799861,-17.6056338028169,0.6126886773666813,10.555555555555555,-44.10646387832699,0.575432548043159,50.0,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=10,graph.spur_min_length,10,t10,0,150,2185.7,28.07327807458599,276.28,-2.2222222222222223,0.7401574803149608,0.0,-14.712107326933403,0.5470343402153901,11.636039242221777,2.953384710652309,0.7427049804402862,2.737936269479977,-47.70173646578141,0.1803859523447546,45.45454545454545,-57.38203957382039,0.3142581719393568,60.0,-41.77215189873418,0.4643396036616035,50.0
spur_min_length=10,graph.spur_min_length,10,degree,0,150,2185.7,28.07327807458599,276.28,-2.2222222222222223,0.7401574803149608,0.0,-14.712107326933403,0.5470343402153901,11.636039242221777,2.9533847106523097,0.7427049804402862,2.737936269479984,-52.91113381001021,0.11652532144638808,50.0,-78.23439878234399,0.1443005146353653,80.0,-41.77215189873418,0.4643396036616035,50.0
spur_min_length=10,graph.spur_min_length,10,degree,2,150,2185.7,28.07327807458599,276.28,-2.2222222222222223,0.7401574803149608,0.0,-14.339651462363937,0.5534208003287916,11.253323898946569,2.8417340789878964,0.7439450274691891,2.6999769067727066,-46.705202312138724,0.14365836348214442,45.45454545454545,-73.9526411657559,0.17885877929516272,75.0,-41.77215189873418,0.4643396036616035,50.0
spur_min_length=10,graph.spur_min_length,10,degree,5,150,2185.7,28.07327807458599,276.28,-2.2222222222222223,0.7401574803149608,0.0,-11.63715236275315,0.6116539046454111,8.439486845986334,2.2988475982513314,0.7603786061462181,2.558277321669072,-29.501915708812266,0.35894083033671154,25.0,-58.84057971014492,0.3864287287948887,50.0,-41.77215189873418,0.4643396036616035,50.0
spur_min_length=10,graph.spur_min_length,10,degree,10,150,2185.7,28.07327807458599,276.28,-2.2222222222222223,0.7401574803149608,0.0,-9.490838311159449,0.6583398237697805,6.726121746012168,2.3008056119107008,0.7626622139279146,2.4790665647617978,-19.366197183098592,0.5658465991316932,12.5,-46.7680608365019,0.5441673020368152,50.0,-41.77215189873418,0.4643396036616035,50.0
