img,arm,L,n_tubes,bytes,length_endcorr,structure_bytes,seg_iou,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5
238,GRAPH7,10,8,2631.0,366.1734895871392,224,0.8614987080103359,5,328.25,5.949968345019861,14,5,1,5,13,0,0.7499999999999999,0.6896551724137931,0.7499999999999999,0.8275862068965517
238,GRAPH7,auto,8,2631.0,366.1734895871392,224,0.8614987080103359,5,328.25,5.949968345019861,14,5,1,5,13,0,0.7499999999999999,0.6896551724137931,0.7499999999999999,0.8275862068965517
238,GRAPH6,0,8,2636.0,341.2349830122422,224,0.8614987080103359,5,303.93817254811097,5.75734261119541,12,3,1,14,13,0,0.6666666666666666,0.6896551724137931,0.6666666666666666,0.8275862068965517
238,GRAPH6,2,8,2636.0,341.2349830122422,224,0.8614987080103359,5,303.93817254811097,5.75734261119541,12,3,1,14,13,0,0.6666666666666666,0.6896551724137931,0.6666666666666666,0.8275862068965517
238,GRAPH6,5,8,2636.0,341.2349830122422,224,0.8614987080103359,5,303.93817254811097,5.75734261119541,12,3,1,14,13,0,0.6666666666666666,0.6896551724137931,0.6666666666666666,0.8275862068965517
238,GRAPH6,10,8,2636.0,341.2349830122422,224,0.8614987080103359,5,303.93817254811097,5.75734261119541,12,3,1,14,13,0,0.6666666666666666,0.6896551724137931,0.6666666666666666,0.8275862068965517
238,GRAPH6,auto,8,2636.0,341.2349830122422,224,0.8614987080103359,5,303.93817254811097,5.75734261119541,12,3,1,14,13,0,0.6666666666666666,0.6896551724137931,0.6666666666666666,0.8275862068965517
238,GRAPH7p,0,8,,364.0388477463888,224,0.8614987080103359,5,328.2914139223983,5.794966413586233,14,5,1,5,13,0,0.7499999999999999,0.6896551724137931,0.7499999999999999,0.8275862068965517
238,GRAPH7p,2,8,,364.0388477463888,224,0.8614987080103359,5,328.2914139223983,5.794966413586233,14,5,1,5,13,0,0.7499999999999999,0.6896551724137931,0.7499999999999999,0.8275862068965517
238,GRAPH7p,5,8,,364.0388477463888,224,0.8614987080103359,5,328.2914139223983,5.794966413586233,14,5,1,5,13,0,0.7499999999999999,0.6896551724137931,0.7499999999999999,0.8275862068965517
238,GRAPH7p,10,8,,364.0388477463888,224,0.8614987080103359,5,328.2914139223983,5.794966413586233,14,5,1,5,13,0,0.7499999999999999,0.6896551724137931,0.7499999999999999,0.8275862068965517
238,GRAPH7p,auto,8,,364.0388477463888,224,0.8614987080103359,5,328.2914139223983,5.794966413586233,14,5,1,5,13,0,0.7499999999999999,0.6896551724137931,0.7499999999999999,0.8275862068965517
