L,arm,n,bytes,n_components_bias_pct,n_components_ccc,n_components_mdape,n_components_vs_jpeg,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,total_length_px_vs_jpeg,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,mean_width_px_vs_jpeg,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_branches_vs_jpeg,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,n_junctions_vs_jpeg,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape,cycle_rank_vs_jpeg,length_endcorr_bias_pct,length_endcorr_ccc,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5,components_eq_tubes
2,GRAPH6,397,2247.4534005037785,-18.989450305385898,0.21356939457719448,20.0,94/48 p=3.8e-11,-33.04301682195558,0.2726693487006898,31.57192135878631,42/355 p=6.0e-36,65.20301480196221,0.08536862972500182,64.03350496912118,257/140 p=1.7e-06,-45.266210897037496,0.2405349465615613,45.45454545454545,104/201 p=1.3e-02,-60.696202531645575,0.25000316586969895,66.66666666666666,102/167 p=2.2e-01,-61.32315521628499,0.1920125066948453,100.0,47/32 p=3.7e-03,-25.70279242279293,0.3570358541179692,0.2521024750495393,0.5994287302495762,0.3242224130858704,0.7540350514912851,0.04030226700251889
2,JPEG,397,2169.1209068010075,85.50805108273182,-0.00016745731589797017,20.0,,1.9492317902730816,0.005896507276914837,25.26069967953625,,64.83635659101614,0.08462079531004393,62.92719620324938,,55.93536357986327,-0.015143610934440293,37.5,,40.822784810126585,-0.0042824328852542545,52.77777777777778,,-11.450381679389311,0.000926540256777369,100.0,,18.708073250671923,-0.0014321814714131765,0.21033072852305332,0.5010055471437509,0.2944224531963558,0.6448308474580896,0.07808564231738035
5,REF,397,,-18.489727928928374,0.2436278127735535,20.0,100/43 p=2.9e-12,-26.647884558821644,0.3843051254896839,25.61688670579798,225/172 p=5.0e-02,52.95411022618993,0.1529098278003473,51.90374855278027,361/36 p=4.6e-49,-19.968553459119498,0.4795539975525384,30.76923076923077,194/118 p=6.8e-07,-11.535739561217266,0.48919753153613676,50.0,147/118 p=6.3e-03,19.847328244274806,0.28705849250223436,75.0,89/127 p=2.1e-02,-19.83995496954709,0.47415633721457234,0.3059744420795909,0.640028438071284,0.36927257889766274,0.783050845959897,0.04030226700251889
5,SEG,397,,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.71739597906737,0.32423222620869485,28.3825612950025,102/294 p=2.8e-20,67.61223692198567,0.08184952673014181,65.95865515843845,174/223 p=7.5e-05,-36.05121293800539,0.33161427380237457,36.36363636363637,110/113 p=2.4e-01,-46.001415428167014,0.3521835685673525,60.0,97/86 p=2.7e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-22.108487925686862,0.4199910025427436,0.27339552250650195,0.6025083900347463,0.3553626679867604,0.7607946388421193,0.042821158690176324
5,GRAPH7,397,2236.176322418136,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.7008345836609,0.3245208302113823,28.39008145945197,101/296 p=4.2e-20,67.49461673749859,0.08232531716192786,65.65233619107576,180/217 p=6.7e-04,-36.05121293800539,0.33161427380237457,36.36363636363637,110/113 p=2.4e-01,-46.001415428167014,0.3521835685673525,60.0,97/86 p=2.7e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-22.103952832566222,0.4202325958156231,0.27289174416897044,0.6025083900347463,0.3553626679867604,0.7607946388421193,0.042821158690176324
5,GRAPH7p,397,,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.717395979067355,0.3242322262086949,28.382561295002485,103/294 p=2.9e-20,67.50726016165902,0.09926151867649215,63.84123889324387,215/182 p=6.7e-01,-36.05121293800539,0.33161427380237457,36.36363636363637,110/113 p=2.4e-01,-46.001415428167014,0.3521835685673525,60.0,97/86 p=2.7e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-22.072148542778926,0.42269625775177966,0.27289174416897044,0.6025083900347463,0.3553626679867604,0.7607946388421193,0.042821158690176324
5,GRAPH6,397,2247.4534005037785,-18.989450305385898,0.21356939457719448,20.0,94/48 p=3.8e-11,-32.7308404361905,0.2764744320489034,31.128791894702694,42/355 p=4.0e-36,65.17671326937325,0.08542681301799902,64.03350496912118,258/139 p=2.4e-06,-40.655884995507634,0.2894561242269325,40.0,99/150 p=4.0e-01,-56.05095541401273,0.2932902756823736,60.0,87/114 p=9.6e-01,-61.32315521628499,0.1920125066948453,100.0,47/32 p=3.7e-03,-25.35639339713467,0.3621376682381719,0.28021647140697914,0.6014937654721357,0.35743561828010983,0.7575075489389244,0.04030226700251889
5,JPEG,397,2169.1209068010075,85.50805108273182,-0.00016745731589797017,20.0,,0.5184311908365622,0.00622429550267359,25.58276972663101,,64.81079602121136,0.08481573928279301,63.270698845727324,,41.531895777178796,-0.022097949032494592,36.36363636363637,,15.145081387119603,-0.005632386045383679,53.84615384615385,,-11.450381679389311,0.000926540256777369,100.0,,16.075284444483685,-0.0013837399085687165,0.2500370786863523,0.5031116441236195,0.3429021949505689,0.649444558505544,0.07808564231738035
10,REF,397,,-18.489727928928374,0.2436278127735535,20.0,100/43 p=2.9e-12,-27.16411052148306,0.3769763904523214,25.867436964581604,208/189 p=3.3e-01,52.54091267008434,0.1557851464442745,51.97577056285042,358/39 p=3.6e-49,-21.920932589964522,0.46850925111632125,30.0,189/108 p=1.4e-08,-14.56228956228956,0.4780629862660414,57.14285714285714,148/107 p=4.2e-03,19.847328244274806,0.28705849250223436,75.0,89/127 p=2.1e-02,-20.817756847809157,0.4597654212327446,0.3089310659749555,0.6214114502050786,0.37068575271034115,0.7611620839141402,0.04030226700251889
10,SEG,397,,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.933435747498557,0.31849234886721034,27.77443474996064,115/279 p=9.9e-17,66.9273612525874,0.08355981420019916,64.5335169448744,173/224 p=5.1e-04,-38.7227572225038,0.31203068079007834,38.88888888888889,98/112 p=1.5e-01,-53.78787878787879,0.3366334615373085,66.66666666666666,78/67 p=4.5e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-22.79378790845476,0.40523756346499296,0.3184853670555256,0.597817603740137,0.38710310532061903,0.7500905729261691,0.042821158690176324
10,GRAPH7,397,2236.176322418136,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.918512568603877,0.3187579741986095,27.839928056556733,118/279 p=1.3e-16,66.83564273097993,0.08382145418142341,64.81158795413519,185/212 p=4.0e-03,-38.7227572225038,0.31203068079007834,38.88888888888889,98/112 p=1.5e-01,-53.78787878787879,0.3366334615373085,66.66666666666666,78/67 p=4.5e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-22.78780264068357,0.40549717557299975,0.3179256133471573,0.597817603740137,0.38710310532061903,0.7500905729261691,0.042821158690176324
10,GRAPH7p,397,,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.93343574749854,0.3184923488672104,27.774434749960637,117/279 p=1.0e-16,66.30245320182709,0.10077262291990564,63.690327001623736,224/173 p=5.4e-01,-38.7227572225038,0.31203068079007834,38.88888888888889,98/112 p=1.5e-01,-53.78787878787879,0.3366334615373085,66.66666666666666,78/67 p=4.5e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-22.88179444757791,0.4053596374941267,0.3179256133471573,0.597817603740137,0.38710310532061903,0.7500905729261691,0.042821158690176324
10,GRAPH6,397,2247.4534005037785,-18.989450305385898,0.21356939457719448,20.0,94/48 p=3.8e-11,-32.84516890679586,0.26930026147407,30.937592704386667,41/356 p=4.5e-37,64.61613685614138,0.08634555144733123,63.12449466533455,259/138 p=2.3e-06,-43.18297009630005,0.24548830133561164,41.17647058823529,86/146 p=3.4e-01,-63.215488215488215,0.2580339300115518,66.66666666666666,68/93 p=3.2e-01,-61.32315521628499,0.1920125066948453,100.0,47/32 p=3.7e-03,-25.937025831455735,0.3442701034706862,0.3146032319206123,0.5969205402954775,0.3824974353941609,0.7477498221466136,0.04030226700251889
10,JPEG,397,2169.1209068010075,85.50805108273182,-0.00016745731589797017,20.0,,-2.0274903172342893,0.011074602786174803,24.879879251672605,,64.41808154325904,0.0852998989846739,63.36776461380922,,32.007095793208315,-0.020623886448373173,37.5,,-8.585858585858587,0.007691187522152161,66.66666666666666,,-11.450381679389311,0.000926540256777369,100.0,,12.54715550920443,0.0013314981361975827,0.27951380742534987,0.49167758000912487,0.36438051039312724,0.6370193313054932,0.07808564231738035
auto,REF,397,,-18.489727928928374,0.2436278127735535,20.0,89/43 p=6.9e-10,-27.100033709772976,0.37591723942906,25.86061338215615,220/177 p=2.8e-02,52.93115975538724,0.15379626730466547,51.8964196144919,364/33 p=7.2e-50,-23.82101338012722,0.43054868309640776,33.33333333333333,200/110 p=5.7e-08,-17.465753424657535,0.4569954360762794,50.0,159/108 p=7.0e-04,19.847328244274806,0.28705849250223436,75.0,90/128 p=2.0e-02,-16.006208178473006,0.524032013880064,0.27755618552671457,0.626138602640648,0.3311783862756191,0.7653524685067207,0.04030226700251889
auto,SEG,397,,-18.989450305385898,0.21183405309154915,20.0,80/44 p=5.3e-09,-30.17630992232294,0.3181630033656619,28.891002822946497,106/290 p=4.6e-19,67.52203561503615,0.08204712465552273,65.81963299178257,178/219 p=1.1e-03,-40.46940118447028,0.28785328414715505,40.0,92/113 p=7.4e-01,-52.054794520547944,0.3128846825618197,66.66666666666666,90/78 p=3.0e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-21.032245593816835,0.43979359319876,0.248715111801261,0.5912027813490722,0.32188360583639414,0.743656650924969,0.042821158690176324
auto,GRAPH7,397,2236.176322418136,-18.989450305385898,0.21183405309154915,20.0,80/44 p=5.3e-09,-30.16186092672454,0.3182430357322287,28.910888850503024,106/291 p=6.7e-19,67.41908386271655,0.08241100247046593,65.8156417026164,188/209 p=7.7e-03,-40.46940118447028,0.2866661509640236,40.0,93/113 p=6.7e-01,-52.054794520547944,0.3114415130142041,66.66666666666666,91/77 p=2.1e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-21.024763237391397,0.4399622905584616,0.2477671093419235,0.5909761379891466,0.3214258771670786,0.7434241097648185,0.042821158690176324
auto,GRAPH7p,397,,-18.989450305385898,0.21183405309154915,20.0,80/44 p=5.3e-09,-30.31632572786912,0.31375196489031026,28.971089511245125,103/294 p=4.0e-20,67.1448008800611,0.09991987269593802,63.55209224938705,218/179 p=8.8e-01,-41.39065584558017,0.2720078350933752,40.0,88/121 p=6.4e-01,-53.49315068493151,0.29617302727452344,66.66666666666666,84/84 p=1.1e-01,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-20.871776100977833,0.4438303431909034,0.2498980723655334,0.5903903402260351,0.32196826931407485,0.7423048376821714,0.042821158690176324
auto,GRAPH6,397,2247.4534005037785,-19.15602443087174,0.20585610384103792,20.0,81/46 p=8.4e-09,-33.156170683067536,0.27031465078863476,31.533623584539672,37/360 p=6.5e-38,65.03594511528817,0.08613164455937095,64.03350496912118,260/137 p=4.1e-08,-44.92213204650143,0.25073558727628686,45.45454545454545,75/153 p=1.5e-02,-61.50684931506849,0.2622506922037427,66.66666666666666,79/103 p=6.6e-01,-61.32315521628499,0.1920125066948453,100.0,47/32 p=3.7e-03,-25.484333512115125,0.3590592556652786,0.2413462111830681,0.589454317907923,0.3090349676093373,0.7406996952970625,0.04030226700251889
auto,JPEG,397,2169.1209068010075,56.41310383120489,0.000277916883265379,20.0,,-1.5828176772182048,0.008554680101310714,25.744575724985914,,65.04829188175512,0.08372073621278583,63.527125138608895,,20.267602544417638,-0.01750316608673955,38.46153846153847,,1.4383561643835614,-0.002961341846467382,62.5,,-12.213740458015268,0.0012862539531337586,100.0,,19.423880736008662,-0.0017092699972010234,0.22186118810920927,0.5030844562743796,0.30129165977493383,0.6467716434007789,0.07304785894206549
