dataset,format,n,bytes_mean,bytes_median,ratio_v7_over_format,ratio_ci_lo,ratio_ci_hi,decode_descr_ms_median,external_process,swc_dup_nodes_mean,exact_n_components,exact_total_length_px,exact_mean_width_px,exact_n_branches,exact_n_junctions,exact_cycle_rank
ORGANELLE,mask_webp_lossless,726,328.9724517906336,328.0,0.5851595668958356,0.5794809201962052,0.5904907847378222,5.549032997805625,False,,1.0,1.0,1.0,1.0,1.0,1.0
ORGANELLE,mask_zlib,726,380.6887052341598,379.0,0.5056661118749547,0.5008043248516665,0.5104152888405125,4.612581979017705,False,,1.0,1.0,1.0,1.0,1.0,1.0
ORGANELLE,skel_chain,726,288.2038567493113,285.0,0.6679347722189298,0.6648110769138866,0.6709792801513978,3.6691665300168097,False,,1.0,1.0,0.0,1.0,1.0,1.0
ORGANELLE,swc,726,1321.7727272727273,1297.5,0.14563878754531803,0.1450029704864874,0.1462737973174946,0.8541669812984765,False,0.5509641873278237,1.0,0.0,0.0,1.0,1.0,1.0
ORGANELLE,swc_gz,726,597.0454545454545,588.0,0.3224233196064182,0.3210847265650692,0.32379971489845594,0.8685924694873393,False,0.5509641873278237,1.0,0.0,0.0,1.0,1.0,1.0
ORGANELLE,v7_struct_e0.75,726,192.5013774104683,189.0,1.0,1.0,1.0,1.2588914833031595,False,,1.0,0.0,0.0,1.0,1.0,1.0
ORGANELLE,v7_struct_e3,726,173.80165289256198,172.0,1.1075923284197178,1.1055129980676546,1.1099096716903192,1.1167200282216072,False,,1.0,0.0,0.0,1.0,1.0,1.0
UIT,mask_jbig2,45,534.0888888888888,525.0,1.1140051593575768,1.0645438845447448,1.154536825629422,12.005551951006055,True,,1.0,1.0,1.0,1.0,1.0,1.0
UIT,mask_png,45,1257.0222222222221,1253.0,0.4733231976805855,0.4577910748141386,0.48740459421696847,9.882897953502834,False,,1.0,1.0,1.0,1.0,1.0,1.0
UIT,mask_webp_lossless,45,912.8,872.0,0.6518161456811764,0.6352879818936693,0.6689972758494444,10.66639507189393,False,,1.0,1.0,1.0,1.0,1.0,1.0
UIT,mask_zlib,45,1070.3555555555556,1046.0,0.555869285388033,0.5425524123093528,0.5702511437745684,9.841691004112363,False,,1.0,1.0,1.0,1.0,1.0,1.0
UIT,skel_chain,45,964.0222222222222,931.0,0.6171826375602222,0.6084501335141261,0.6256877124762158,8.301328984089196,False,,1.0,1.0,0.0,1.0,1.0,1.0
UIT,swc,45,4690.288888888889,4424.0,0.1268531196846439,0.12465975702679702,0.1296020352780651,2.61332793161273,False,3.4444444444444446,1.0,0.0,0.0,1.0,1.0,1.0
UIT,swc_gz,45,1943.5777777777778,1862.0,0.3061250157212929,0.3021393083534471,0.31074709855629545,2.6005490217357874,False,3.4444444444444446,1.0,0.0,0.0,1.0,1.0,1.0
UIT,v7_struct_e0.75,45,594.9777777777778,559.0,1.0,1.0,1.0,3.7667619762942195,False,,1.0,0.0,0.0,1.0,1.0,1.0
UIT,v7_struct_e3,45,526.5111111111111,492.0,1.1300384079685983,1.1230529909483409,1.1361079764986894,3.39261197950691,False,,1.0,0.0,0.0,1.0,1.0,1.0
