dataset,id,format,bytes,decode_descr_s,lossless_mask,external,fg_px,exact_n_components,relerr_n_components,exact_total_length_px,relerr_total_length_px,exact_mean_width_px,relerr_mean_width_px,exact_n_branches,relerr_n_branches,exact_n_junctions,relerr_n_junctions,exact_cycle_rank,relerr_cycle_rank,codec,swc_dup_nodes
ORGANELLE,7275,swc_gz,603,0.0008887199219316244,False,False,1341,True,0.0,False,0.03972380666728569,False,0.0008388868326186501,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7276,mask_zlib,398,0.004697108990512788,True,False,1458,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7276,mask_png,522,0.005941643961705267,True,False,1458,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7276,mask_webp_lossless,340,0.005388504941947758,True,False,1458,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7276,mask_jbig2,267,0.007116414024494588,True,True,1458,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7276,skel_chain,277,0.0034325639717280865,False,False,1458,True,0.0,True,0.0,False,0.0042576096080735575,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7276,v7_struct_e0.75,173,0.0011032589245587587,False,False,1458,True,0.0,False,0.001152474458483881,False,1.4380330566224063e-05,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7276,v7_struct_e3,157,0.0010275909444317222,False,False,1458,True,0.0,False,0.0011524744584839983,False,0.003474421417275454,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7276,swc,1164,0.0007769860094413161,False,False,1458,True,0.0,False,0.04239521034082346,False,0.0031913755586228366,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7276,swc_gz,541,0.0007972220191732049,False,False,1458,True,0.0,False,0.04239521034082346,False,0.0031913755586228366,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7277,mask_zlib,335,0.005033982917666435,True,False,1343,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7277,mask_png,480,0.005115893902257085,True,False,1343,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7277,mask_webp_lossless,302,0.006014736951328814,True,False,1343,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7277,mask_jbig2,276,0.008332906989380717,True,True,1343,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7277,skel_chain,283,0.004182877019047737,False,False,1343,True,0.0,True,0.0,False,0.0013361623185799297,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7277,v7_struct_e0.75,199,0.0013058088952675462,False,False,1343,True,0.0,False,0.0009743886644204747,False,0.0032864999200207874,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7277,v7_struct_e3,179,0.0012013759696856141,False,False,1343,True,0.0,False,0.0009743886644204747,False,0.00014086278170811383,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7277,swc,1414,0.0008850980084389448,False,False,1343,True,0.0,False,0.03263360176084531,False,0.0023348009673427816,True,0.0,True,0.0,True,0.0,,1.0
ORGANELLE,7277,swc_gz,618,0.000894860946573317,False,False,1343,True,0.0,False,0.03263360176084531,False,0.0023348009673427816,True,0.0,True,0.0,True,0.0,,1.0
ORGANELLE,7261,mask_zlib,390,0.005068268976174295,True,False,1297,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7261,mask_png,513,0.005149270058609545,True,False,1297,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7261,mask_webp_lossless,334,0.005811006994917989,True,False,1297,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7261,mask_jbig2,274,0.00629409693647176,True,True,1297,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7261,skel_chain,259,0.0037270219763740897,False,False,1297,True,0.0,True,0.0,False,0.006803369608082745,True,0.0,True,0.0,True,0.0,,
