dataset,id,q,bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_components_ref,total_length_px_ref,mean_width_px_ref,n_branches_ref,n_junctions_ref,cycle_rank_ref
CBMI,CBMI_mito5_h613_w762,10,1704,14,773.4112549695427,7.014993231727697,21,4,1,17,635.9554108468271,4.765789754974644,26,5,1
CBMI,CBMI_mito5_h613_w762,20,2135,10,689.5706345359769,7.030458773826182,13,2,1,17,635.9554108468271,4.765789754974644,26,5,1
MITO,MITO_M2_001_y512x0,1,1198,17,468.27922061357856,7.353459038974028,23,3,0,15,1209.8670990922585,6.783447492321392,19,2,0
MITO,MITO_M2_001_y512x0,5,1272,17,693.031529292576,7.4169093528523025,31,8,2,15,1209.8670990922585,6.783447492321392,19,2,0
MITO,MITO_M2_001_y512x0,10,1489,19,765.7594513539339,7.2087441074743355,30,6,1,15,1209.8670990922585,6.783447492321392,19,2,0
MITO,MITO_M2_001_y512x0,20,1904,21,735.2447327281724,7.6108656732506486,25,2,0,15,1209.8670990922585,6.783447492321392,19,2,0
MITO,MITO_M2_003_y0x256,1,1156,6,433.73506473629425,8.49513091940295,18,6,0,14,461.9604614807104,4.444970144970146,24,5,1
MITO,MITO_M2_003_y0x256,5,1243,13,617.6467529817255,7.185081332169949,22,5,1,14,461.9604614807104,4.444970144970146,24,5,1
MITO,MITO_M2_003_y0x256,10,1479,22,1045.2346314604056,7.530489786690201,36,8,2,14,461.9604614807104,4.444970144970146,24,5,1
MITO,MITO_M2_003_y0x256,20,1963,19,896.1513703397204,7.52819562358898,39,10,0,14,461.9604614807104,4.444970144970146,24,5,1
MITO,MITO_M2_004_y512x256,1,1320,16,329.5512985522207,6.892767261033326,20,3,2,17,1231.7148622007605,6.62631385244472,47,15,1
MITO,MITO_M2_004_y512x256,5,1578,18,366.17871555019025,7.447563820888496,18,0,0,17,1231.7148622007605,6.62631385244472,47,15,1
MITO,MITO_M2_004_y512x256,10,2017,16,358.5929291125633,7.4166463008391394,18,1,0,17,1231.7148622007605,6.62631385244472,47,15,1
MITO,MITO_M2_004_y512x256,20,2699,16,330.49242404917493,7.161533738612427,16,0,0,17,1231.7148622007605,6.62631385244472,47,15,1
MITO,MITO_M2_007_y0x0,1,1108,2,207.81118318204312,8.684239269815233,10,4,0,2,162.29646455628165,4.780804118955183,4,1,0
MITO,MITO_M2_007_y0x0,5,1110,2,178.32590180780454,9.818724436520899,8,3,0,2,162.29646455628165,4.780804118955183,4,1,0
MITO,MITO_M2_007_y0x0,10,1142,4,224.61017305526642,8.909041545526245,15,7,3,2,162.29646455628165,4.780804118955183,4,1,0
MITO,MITO_M2_007_y0x0,20,1226,11,356.3797256769669,7.223235397209844,19,5,2,2,162.29646455628165,4.780804118955183,4,1,0
MITO,MITO_M2_008_y256x512,1,1290,13,658.7888886054569,7.708347050763083,39,14,2,19,781.7960312803931,6.630189993094671,44,14,4
MITO,MITO_M2_008_y256x512,5,1559,24,729.8132752230962,7.562734198089273,30,3,0,19,781.7960312803931,6.630189993094671,44,14,4
MITO,MITO_M2_008_y256x512,10,2041,30,714.3107499061546,7.210044819254134,38,4,0,19,781.7960312803931,6.630189993094671,44,14,4
MITO,MITO_M2_008_y256x512,20,2850,20,627.4701294725886,7.40875384436417,29,5,1,19,781.7960312803931,6.630189993094671,44,14,4
MITO,MITO_M2_010_y0x512,1,1163,7,434.97770542341357,7.236161882945416,17,5,0,6,279.350288425444,5.753518352331275,8,1,0
MITO,MITO_M2_010_y0x512,5,1260,19,569.0904037956217,6.965310825544145,31,6,0,6,279.350288425444,5.753518352331275,8,1,0
MITO,MITO_M2_010_y0x512,10,1468,13,771.8843430349616,7.876351536086098,30,9,2,6,279.350288425444,5.753518352331275,8,1,0
MITO,MITO_M2_010_y0x512,20,1875,11,458.7888886054567,7.597631984388704,19,4,0,6,279.350288425444,5.753518352331275,8,1,0
MITO,MITO_M2_011_y512x512,1,1192,8,200.22539674441617,7.098012030671775,8,0,0,9,219.7523086789974,5.202656486130656,11,1,0
MITO,MITO_M2_011_y512x512,5,1345,12,411.1492782986673,7.599212917128095,25,7,2,9,219.7523086789974,5.202656486130656,11,1,0
MITO,MITO_M2_011_y512x512,10,1745,34,823.4528855298854,7.281531491295801,44,5,0,9,219.7523086789974,5.202656486130656,11,1,0
MITO,MITO_M2_011_y512x512,20,2502,27,498.58787847868,7.3323493890215765,29,1,0,9,219.7523086789974,5.202656486130656,11,1,0
MITO,MITO_M2_013_y256x0,1,1216,5,112.84062043356596,7.025877942323876,5,0,0,8,227.65180361560905,6.282540485675644,10,1,0
MITO,MITO_M2_013_y256x0,5,1363,8,405.45079348883235,8.45377495978731,24,10,5,8,227.65180361560905,6.282540485675644,10,1,0
MITO,MITO_M2_013_y256x0,10,1660,6,268.5512985522207,8.001447424729315,12,3,1,8,227.65180361560905,6.282540485675644,10,1,0
MITO,MITO_M2_013_y256x0,20,2155,7,293.79393923934,7.870342033472755,10,2,1,8,227.65180361560905,6.282540485675644,10,1,0
MITO,MITO_M2_014_y512x256,1,1240,7,361.237590053236,7.502935916217401,15,5,2,30,1577.0773439350246,5.941436493979495,77,26,5
MITO,MITO_M2_014_y512x256,5,1484,30,1020.1391770309008,7.6966706831381115,63,18,3,30,1577.0773439350246,5.941436493979495,77,26,5
MITO,MITO_M2_014_y512x256,10,1984,27,1269.1707063234767,7.58116266980051,56,15,1,30,1577.0773439350246,5.941436493979495,77,26,5
MITO,MITO_M2_014_y512x256,20,2796,24,1007.8914857098981,7.650541995244411,46,12,3,30,1577.0773439350246,5.941436493979495,77,26,5
MITO,MITO_M2_016_y512x256,1,1181,8,196.12489168102786,6.968114812088898,10,1,0,11,463.6467529817257,5.370769601172604,22,6,1
MITO,MITO_M2_016_y512x256,5,1274,10,160.9827560572969,5.273182759880308,12,1,0,11,463.6467529817257,5.370769601172604,22,6,1
MITO,MITO_M2_016_y512x256,10,1512,18,817.5290039756343,7.995368500887936,39,11,1,11,463.6467529817257,5.370769601172604,22,6,1
MITO,MITO_M2_016_y512x256,20,2055,25,902.4945160902281,7.681144053876137,38,7,2,11,463.6467529817257,5.370769601172604,22,6,1
MITO,MITO_M2_018_y256x512,1,1264,13,308.5096679918781,7.055830572694987,17,2,0,22,1506.2539674441618,6.484174849044271,72,27,6
MITO,MITO_M2_018_y256x512,5,1491,25,959.38181771802,8.04352365374544,47,12,3,22,1506.2539674441618,6.484174849044271,72,27,6
MITO,MITO_M2_018_y256x512,10,1945,20,1135.0041840821063,8.153737168644707,46,14,2,22,1506.2539674441618,6.484174849044271,72,27,6
MITO,MITO_M2_018_y256x512,20,2738,21,997.1341263970173,7.880057842514499,40,10,2,22,1506.2539674441618,6.484174849044271,72,27,6
UIT,UIT_12_y256x512,1,1231,22,676.8893936688451,6.460314923364528,28,3,0,24,1522.8935777509512,6.64521630704749,55,17,3
UIT,UIT_12_y256x512,5,1458,25,905.1513703397205,7.1338969629751485,45,11,2,24,1522.8935777509512,6.64521630704749,55,17,3
UIT,UIT_12_y256x512,10,1830,32,1190.57272657703,7.129107358465725,49,9,1,24,1522.8935777509512,6.64521630704749,55,17,3
UIT,UIT_12_y256x512,20,2502,28,1351.8986283848344,7.136649365635021,47,10,1,24,1522.8935777509512,6.64521630704749,55,17,3
UIT,UIT_20_y256x0,1,1107,3,101.04163056034263,6.362393141176265,5,1,0,3,40.798989873223334,6.8980668787210515,3,0,0
UIT,UIT_20_y256x0,5,1109,2,54.28427124746191,7.520432756510765,4,1,0,3,40.798989873223334,6.8980668787210515,3,0,0
UIT,UIT_20_y256x0,10,1128,3,162.9827560572969,7.439788970204722,9,4,2,3,40.798989873223334,6.8980668787210515,3,0,0
