dataset,group,id,arm,L,bytes,structure_bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1
UIT,UIT_20,UIT_20_y0x256,JPEG,5,1255.0,95,8,223.19595949289334,9.08623344785594,19,6,1,8,22,0,0.0
UIT,UIT_20,UIT_20_y0x256,JPEG,auto,1255.0,95,4,179.88225099390857,9.596540187664955,9,3,1,8,22,0,0.0
UIT,UIT_12,UIT_12_y768x256,REF,5,,98,5,157.4680374315355,7.203097838150857,9,2,0,3,13,0,1.0
UIT,UIT_12,UIT_12_y768x256,REF,auto,,98,2,150.8111831820431,7.339932944736756,6,2,0,3,13,0,1.0
UIT,UIT_12,UIT_12_y768x256,SEG,5,,98,2,129.7401153701776,8.4102796573721,4,1,0,1,5,0,0.6666666666666666
UIT,UIT_12,UIT_12_y768x256,SEG,auto,,98,2,129.7401153701776,8.4102796573721,4,1,0,1,5,0,0.6666666666666666
UIT,UIT_12,UIT_12_y768x256,GRAPH7,5,1538.0,98,2,129.5,8.415893101997456,4,1,0,1,5,0,0.6666666666666666
UIT,UIT_12,UIT_12_y768x256,GRAPH7,auto,1538.0,98,2,129.5,8.415893101997456,4,1,0,1,5,0,0.6666666666666666
UIT,UIT_12,UIT_12_y768x256,JPEG,5,1535.0,98,2,142.98275605729688,7.996703720387488,5,2,1,2,4,0,0.0
UIT,UIT_12,UIT_12_y768x256,JPEG,auto,1535.0,98,2,142.98275605729688,7.996703720387488,5,2,1,2,4,0,0.0
UIT,UIT_12,UIT_12_y768x512,REF,5,,667,16,1117.6316010800756,7.345780209555236,60,24,6,30,50,0,1.0
UIT,UIT_12,UIT_12_y768x512,REF,auto,,667,13,1100.5605332682105,7.3597633917970855,55,23,6,30,50,0,1.0
UIT,UIT_12,UIT_12_y768x512,SEG,5,,667,15,991.335136523794,7.992800390063314,49,18,2,21,47,0,0.6666666666666666
UIT,UIT_12,UIT_12_y768x512,SEG,auto,,667,12,933.3940110268397,7.9822627960680475,36,13,2,21,47,0,0.5555555555555555
UIT,UIT_12,UIT_12_y768x512,GRAPH7,5,7497.0,667,15,992.5,8.01039547791538,49,18,2,21,47,0,0.6666666666666666
UIT,UIT_12,UIT_12_y768x512,GRAPH7,auto,7497.0,667,12,934.5,8.00068184379566,36,13,2,21,47,0,0.5555555555555555
UIT,UIT_12,UIT_12_y768x512,JPEG,5,7260.0,667,16,987.6782822743016,8.075460938054839,51,18,3,27,53,0,0.619047619047619
UIT,UIT_12,UIT_12_y768x512,JPEG,auto,7260.0,667,13,941.050865276332,8.103231967921031,41,15,3,27,53,0,0.5789473684210527
UIT,UIT_12,UIT_12_y256x0,REF,5,,587,24,1005.7493500861672,6.403203420074404,42,10,2,15,59,0,1.0
